concept_key,preferred_name,semantic_definition,entity_level,value_type,cardinality,structured_shape_ref,source_of_truth_kind,read_contract,write_contract,applicability_kind,owner_candidate,representation_candidate,localization_kind,vocabulary_kind,concept_status,evidence_platforms,evidence_coverage_count,alias_concept_keys,broader_concept_key,conflicts_with_concept_keys,decision_reference,confidence,review_status,review_note
adobe:alias:grouped_composition,"alias:grouped composition","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,grouped_composition,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,GroupedComposition,structured_surface_equivalence,store_scope_not_localization,provider_controlled_or_typed,deferred,adobe_commerce,3,not_applicable,not_applicable,not_applicable,queue:adobe_composition_mapping,supported,DEFERRED_REVIEW,"Import associated SKUs and typed associated product links require structured translation."
adobe:alias:meta_keyword,"alias:meta keyword","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,text,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,ProductData,surface_alias,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,4,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Singular REST/EAV and plural Import keys represent the same text semantic."
adobe:alias:product_type,"alias:product type","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,provider_enum,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,Connector,execution_type_discriminator,store_scope_not_localization,provider_controlled_or_typed,deferred,adobe_commerce,4,not_applicable,not_applicable,not_applicable,queue:adobe_product_type_execution,supported,DEFERRED_REVIEW,"REST type ID and Import product type are translated execution discriminators; raw equality is not assumed."
adobe:alias:status,alias:status,"Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,enabled_state,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,UnresolvedLifecycleOwner,enabled_state_with_surface_translation,store_scope_not_localization,provider_controlled_or_typed,deferred,adobe_commerce,4,not_applicable,not_applicable,not_applicable,queue:adobe_status_lifecycle,supported,DEFERRED_REVIEW,"REST status and Import product_online encode Adobe enabled state through translated values; platform lifecycle equivalence remains open."
adobe:alias:tax_class,"alias:tax class","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,tax_class_reference,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,PricingTax,id_name_resolution,store_scope_not_localization,provider_controlled_or_typed,deferred,adobe_commerce,4,not_applicable,not_applicable,not_applicable,queue:adobe_tax_portability,supported,DEFERRED_REVIEW,"Tax ID and name require tax-configuration resolution and are not raw equal."
adobe:alias:tier_price_customer_group,"alias:tier price customer group","Adobe-local semantic represented by frozen provider evidence.",ProviderRepresentation,customer_group_reference,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,Pricing,id_code_resolution,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Customer group code and Catalog Pricing representation require group identity resolution."
adobe:alias:website_assignment,"alias:website assignment","Adobe-local semantic represented by frozen provider evidence.",ProviderContextual,website_assignment,context_dependent,not_applicable,mixed_provider_representation,import_representation|surface_defined,surface_defined|writable,provider_context,Connector,id_code_list_resolution,store_scope_not_localization,provider_controlled_or_typed,channel,adobe_commerce,6,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Website ID, code list, and structured assignment preserve distinct surfaces and require resolution."
adobe:attribute_schema:attribute_definition,"attribute schema:attribute definition","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,AttributeSchema,schema_or_attribute_set_context,store_scope_not_localization,provider_controlled_or_typed,governance,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:attribute_schema:attribute_set_membership,"attribute schema:attribute set membership","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,AttributeSchema,schema_or_attribute_set_context,store_scope_not_localization,provider_controlled_or_typed,governance,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:attribute_schema:attribute_sets,"attribute schema:attribute sets","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,AttributeSchema,schema_or_attribute_set_context,store_scope_not_localization,provider_controlled_or_typed,governance,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:b2b_catalog_visibility:shared_catalog_product_membership,"b2b catalog visibility:shared catalog product membership","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,SharedCatalog,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,queue:adobe_b2b_shared_catalog,supported,DEFERRED_REVIEW,"Provider-local concept; no cross-platform merge asserted."
adobe:b2b_pricing:shared_catalog_tier_prices,"b2b pricing:shared catalog tier prices","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,Pricing,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,queue:adobe_b2b_shared_catalog,supported,DEFERRED_REVIEW,"Provider-local concept; no cross-platform merge asserted."
adobe:catalog_scope_and_connector_context:store_view_code,"catalog scope and connector context:store view code","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,Connector,provider_scope_context,store_scope_not_localization,provider_controlled_or_typed,channel,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:catalog_scope_and_connector_context:visibility,"catalog scope and connector context:visibility","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,Connector,provider_scope_context,store_scope_not_localization,provider_controlled_or_typed,channel,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:core_product_scalar:country_of_manufacture,"core product scalar:country of manufacture","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,provider_field_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:core_product_scalar:description,"core product scalar:description","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,provider_field_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:core_product_scalar:name,"core product scalar:name","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,provider_field_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:core_product_scalar:new_from_date,"core product scalar:new from date","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,provider_field_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:core_product_scalar:new_to_date,"core product scalar:new to date","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,provider_field_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:core_product_scalar:short_description,"core product scalar:short description","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,provider_field_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:core_product_scalar:weight,"core product scalar:weight","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,provider_field_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,queue:adobe_weight_semantic,supported,DEFERRED_REVIEW,"Provider-local concept; no cross-platform merge asserted."
adobe:customizable_options:custom_option_definition,"customizable options:custom option definition","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,OrderCustomization,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,queue:adobe_customization_architecture,supported,DEFERRED_REVIEW,"Provider-local concept; no cross-platform merge asserted."
adobe:customizable_options:custom_options,"customizable options:custom options","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,OrderCustomization,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,queue:adobe_customization_architecture,supported,DEFERRED_REVIEW,"Provider-local concept; no cross-platform merge asserted."
adobe:customizable_options:display_product_options_in,"customizable options:display product options in","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,OrderCustomization,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:customizable_options:has_options,"customizable options:has options","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,provider_owned,read_projection,read_only,provider_context,OrderCustomization,provider_metadata_projection,store_scope_not_localization,provider_controlled_or_typed,projection,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:customizable_options:product_options_container,"customizable options:product options container","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,OrderCustomization,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:customizable_options:required_options,"customizable options:required options","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,provider_owned,read_projection,read_only,provider_context,OrderCustomization,provider_metadata_projection,store_scope_not_localization,provider_controlled_or_typed,projection,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:downloadable_assets:downloadable_link,"downloadable assets:downloadable link","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,DownloadableComposition,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:downloadable_assets:downloadable_links,"downloadable assets:downloadable links","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,DownloadableComposition,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:downloadable_assets:downloadable_sample,"downloadable assets:downloadable sample","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,DownloadableComposition,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:downloadable_assets:downloadable_samples,"downloadable assets:downloadable samples","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,DownloadableComposition,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:dynamic_attributes:additional_attributes,"dynamic attributes:additional attributes","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,DynamicField,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,queue:adobe_dynamic_eav_promotion,supported,DEFERRED_REVIEW,"Provider-local concept; no cross-platform merge asserted."
adobe:dynamic_attributes:brand,"dynamic attributes:brand","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,eav_bound_semantic_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:dynamic_attributes:color,"dynamic attributes:color","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,eav_bound_semantic_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:dynamic_attributes:custom_attributes,"dynamic attributes:custom attributes","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,DynamicField,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,queue:adobe_dynamic_eav_promotion,supported,DEFERRED_REVIEW,"Provider-local concept; no cross-platform merge asserted."
adobe:dynamic_attributes:gtin,"dynamic attributes:gtin","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,eav_bound_semantic_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:dynamic_attributes:instructions,"dynamic attributes:instructions","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,eav_bound_semantic_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:dynamic_attributes:manufacturer,"dynamic attributes:manufacturer","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,eav_bound_semantic_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:dynamic_attributes:material,"dynamic attributes:material","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,eav_bound_semantic_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:dynamic_attributes:mpn,"dynamic attributes:mpn","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,eav_bound_semantic_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:dynamic_attributes:saas_attribute_file_value,"dynamic attributes:saas attribute file value","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,provider_owned,read_projection,read_only,provider_context,DynamicField,read_projection,store_scope_not_localization,provider_controlled_or_typed,projection,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:dynamic_attributes:saas_attribute_image_value,"dynamic attributes:saas attribute image value","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,provider_owned,read_projection,read_only,provider_context,DynamicField,read_projection,store_scope_not_localization,provider_controlled_or_typed,projection,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:dynamic_attributes:size,"dynamic attributes:size","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,ProductData,eav_bound_semantic_candidate,store_scope_not_localization,provider_controlled_or_typed,reusable_candidate,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:fulfillment_policy:is_returnable,"fulfillment policy:is returnable","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,provider_owned,read_projection,read_only,provider_context,Returns,read_projection,store_scope_not_localization,provider_controlled_or_typed,projection,adobe_commerce,1,not_applicable,not_applicable,not_applicable,queue:adobe_rma_write_identity,supported,DEFERRED_REVIEW,"Provider-local concept; no cross-platform merge asserted."
adobe:fulfillment_policy:rma_eligibility,"fulfillment policy:rma eligibility","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,not_proven,provider_context,Returns,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,queue:adobe_rma_write_identity,supported,DEFERRED_REVIEW,"Provider-local concept; no cross-platform merge asserted."
adobe:gift_and_merchandising:gift_message_available,"gift and merchandising:gift message available","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,merchant_or_domain,surface_defined,surface_defined,provider_context,Merchandising,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider-local concept; no cross-platform merge asserted."
adobe:gift_and_merchandising:gift_wrapping_available,"gift and merchandising:gift wrapping available","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,scalar_or_context,optional_one,not_applicable,provider_owned,read_projection,read_only,provider_context,Merchandising,read_projection,store_scope_not_localization,provider_controlled_or_typed,projection,adobe_commerce,1,not_applicable,not_applicable,not_applicable,queue:adobe_gift_wrap_write_identity,supported,DEFERRED_REVIEW,"Provider-local concept; no cross-platform merge asserted."
adobe:gift_and_merchandising:gift_wrapping_capability,"gift and merchandising:gift wrapping capability","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,surface_defined,not_proven,provider_context,Merchandising,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,queue:adobe_gift_wrap_write_identity,supported,DEFERRED_REVIEW,"Provider-local concept; no cross-platform merge asserted."
adobe:gift_and_merchandising:gift_wrapping_price,"gift and merchandising:gift wrapping price","Adobe-local semantic represented by frozen provider evidence.",ProductOrProviderContext,provider_typed_or_structured,optional_one,not_applicable,merchant_or_domain,readable,not_proven,provider_context,Merchandising,provider_domain_capability,store_scope_not_localization,provider_controlled_or_typed,domain,adobe_commerce,1,not_applicable,not_applicable,not_applicable,queue:adobe_gift_wrap_write_identity,supported,DEFERRED_REVIEW,"Provider-local concept; no cross-platform merge asserted."
