concept_key,preferred_name,semantic_definition,entity_level,value_type,cardinality,structured_shape_ref,source_of_truth_kind,read_contract,write_contract,applicability_kind,owner_candidate,representation_candidate,localization_kind,vocabulary_kind,concept_status,evidence_platforms,evidence_coverage_count,alias_concept_keys,broader_concept_key,conflicts_with_concept_keys,decision_reference,confidence,review_status,review_note
amazon:luggage:compliance:hazmat,hazmat,"Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance:lithium_battery,"lithium battery","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance:num_batteries,"num batteries","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance:number_of_lithium_ion_cells,"number of lithium ion cells","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance:number_of_lithium_metal_cells,"number of lithium metal cells","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance:pesticide_marking,"pesticide marking","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance:supplier_declared_dg_hz_regulation,"supplier declared dg hz regulation","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance:supplier_declared_material_regulation,"supplier declared material regulation","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Compliance,regulated_product_source_fact,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:compliance_media,"compliance media","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ComplianceMedia,compliance_media_reference,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:condition_note,"condition note","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ListingCondition,amazon_listing_condition,provider_schema_localization,provider_controlled,channel,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:condition_type,"condition type","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ListingCondition,amazon_listing_condition,provider_schema_localization,provider_controlled,channel,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:country_of_origin,"country of origin","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,country_of_origin_evidence,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:department,department,"Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_department,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:externally_assigned_product_identifier,"externally assigned product identifier","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductVariantData,commercial_identifier_gtin_family,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:fabric_type,"fabric type","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_fabric_type,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:fulfillment_channel_availability,"fulfillment channel availability","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Availability,amazon_fulfillment_availability,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:gift_options,"gift options","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ChannelOrCommercial,gift_options_capability,provider_schema_localization,provider_controlled,deferred,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_gift_options,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:highlight:bullet_point,"bullet point","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,product_highlight_evidence_distinct_representation,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_product_highlights,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:highlight:special_feature,"special feature","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,product_highlight_evidence_distinct_representation,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_product_highlights,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:item_dimensions,"item dimensions","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,item_dimensions,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_item_package_dimensions,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:item_name,"item name","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,item_name,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:item_package_dimensions,"item package dimensions","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,PackagingLogistics,package_dimensions,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_item_package_dimensions,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:item_package_weight,"item package weight","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,PackagingLogistics,package_weight,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_item_package_dimensions,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:item_weight,"item weight","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,item_weight,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:lining_description,"lining description","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_lining_description,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:list_price,"list price","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Pricing,recommended_retail_price_evidence,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_offer_pricing,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:manufacturer,manufacturer,"Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,manufacturer,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:material,material,"Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_material,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:max_order_quantity,"max order quantity","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductOrB2BCommercial,maximum_order_quantity_candidate,provider_schema_localization,provider_controlled,deferred,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_max_order_quantity,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:merchant_release_date,"merchant release date","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Availability,merchant_release_availability_date,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:merchant_shipping_group,"merchant shipping group","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Connector,amazon_shipping_publication_context,provider_schema_localization,provider_controlled,channel,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:merchant_suggested_asin,"merchant suggested asin","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ConnectorIdentityReference,seller_suggested_asin_not_established_identity,provider_schema_localization,provider_controlled,channel,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_suggested_asin_identity,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:model_name,"model name","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_model_name,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:model_number,"model number","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,model_number,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:number_of_items,"number of items","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_number_of_items,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:number_of_wheels,"number of wheels","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_number_of_wheels,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:offer_media:additional,"other offer image locator 1","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,repeated_role,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Media,offer_media_additional,provider_schema_localization,provider_controlled,domain,amazon,5,not_applicable,not_applicable,not_applicable,queue:amazon_offer_product_media,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:offer_media:primary,"main offer image locator","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Media,offer_media_primary,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_offer_product_media,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:outer,outer,"Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_outer,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:part_number,"part number","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_part_number,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:product_description,"product description","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_product_description,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:product_media:additional,"other product image locator 1","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,repeated_role,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Media,product_media_additional,provider_schema_localization,provider_controlled,domain,amazon,8,not_applicable,not_applicable,not_applicable,queue:amazon_offer_product_media,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
