object_family,subfield,entry_kind,semantic_note,source_surface,write_semantics,review_status
inventory_quantity_input,locationId,connector_context,Location identity,admin_graphql_inventory_mutations,absolute set with compare-and-set; source-of-truth use only,LEAD_COMPLETENESS_PASS
inventory_quantity_input,quantity,domain_value,absolute quantity,admin_graphql_inventory_mutations,absolute set with compare-and-set; source-of-truth use only,LEAD_COMPLETENESS_PASS
inventory_quantity_input,changeFromQuantity,domain_value,CAS expected quantity; explicit null allowed when source-of-truth policy permits,admin_graphql_inventory_mutations,absolute set with compare-and-set; source-of-truth use only,LEAD_COMPLETENESS_PASS
inventory_change_input,inventoryItemId,connector_context,InventoryItem identity,admin_graphql_inventory_mutations,delta adjustment; idempotency key required from 2026-04,LEAD_COMPLETENESS_PASS
inventory_change_input,locationId,connector_context,Location identity,admin_graphql_inventory_mutations,delta adjustment; idempotency key required from 2026-04,LEAD_COMPLETENESS_PASS
inventory_change_input,delta,domain_value,increment/decrement,admin_graphql_inventory_mutations,delta adjustment; idempotency key required from 2026-04,LEAD_COMPLETENESS_PASS
product_variants_bulk_input,id,domain_value,variant ID for update,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,barcode,domain_value,barcode,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,compareAtPrice,domain_value,compare-at price,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,inventoryItem,structured_capability,nested inventory item input,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,inventoryPolicy,domain_value,out-of-stock policy,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,inventoryQuantities,structured_capability,initial per-location quantities; create only,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,mediaId,domain_value,media GID association,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,mediaSrc,domain_value,media URL(s),admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,metafields,structured_capability,variant metafields,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,optionValues,structured_capability,selected option values,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,price,domain_value,variant price,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,published,domain_value,new variant publication flag,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,quantityAdjustments,structured_capability,inventory deltas,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,requiresComponents,domain_value,bundle component requirement,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,showUnitPrice,domain_value,unit-price visibility,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,taxable,domain_value,taxability,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,taxCode,domain_value,tax code,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
product_variants_bulk_input,unitPriceMeasurement,structured_capability,unit-price measurement,admin_graphql_variant_bulk_input,productVariantsBulkCreate/Update; field-specific restrictions apply,INITIAL_RESEARCH
option_create_input,name,schema_metadata,option name,admin_graphql_options,productOptionsCreate,LEAD_COMPLETENESS_PASS
option_create_input,position,schema_metadata,option order,admin_graphql_options,productOptionsCreate,LEAD_COMPLETENESS_PASS
option_create_input,values,structured_capability,value definitions,admin_graphql_options,productOptionsCreate,LEAD_COMPLETENESS_PASS
option_create_input,linkedMetafield,schema_metadata,linked Shopify taxonomy/metafield definition,admin_graphql_options,productOptionsCreate,LEAD_COMPLETENESS_PASS
variant_option_value_input,name,schema_metadata,value label,admin_graphql_options,variant bulk create/update,INITIAL_RESEARCH
variant_option_value_input,linkedMetafieldValue,schema_metadata,linked metaobject/taxonomy value identity,admin_graphql_options,variant bulk create/update,INITIAL_RESEARCH
option_value_swatch,type,schema_metadata,swatch type,admin_graphql_options,write path through linked option/taxonomy structures; validate exact mutation input,INITIAL_RESEARCH
option_value_swatch,value,schema_metadata,swatch representation value,admin_graphql_options,write path through linked option/taxonomy structures; validate exact mutation input,INITIAL_RESEARCH
metafield_set_input,namespace,schema_metadata,namespace/ownership,admin_graphql_metafields,metafieldsSet; compareDigest supports safe concurrent updates,INITIAL_RESEARCH
metafield_set_input,key,schema_metadata,field key,admin_graphql_metafields,metafieldsSet; compareDigest supports safe concurrent updates,INITIAL_RESEARCH
metafield_set_input,type,schema_metadata,value type,admin_graphql_metafields,metafieldsSet; compareDigest supports safe concurrent updates,INITIAL_RESEARCH
metafield_set_input,value,semantic_field,typed string value,admin_graphql_metafields,metafieldsSet; compareDigest supports safe concurrent updates,INITIAL_RESEARCH
metafield_set_input,ownerId,external_system_metadata,owning resource GID,admin_graphql_metafields,metafieldsSet; compareDigest supports safe concurrent updates,INITIAL_RESEARCH
metafield_set_input,compareDigest,external_system_metadata,optimistic concurrency token,admin_graphql_metafields,metafieldsSet; compareDigest supports safe concurrent updates,INITIAL_RESEARCH
metafield_definition,access,schema_metadata,definition access,admin_graphql_metafields,definition create/update where supported,INITIAL_RESEARCH
metafield_definition,capabilities,schema_metadata,definition capabilities,admin_graphql_metafields,definition create/update where supported,INITIAL_RESEARCH
metafield_definition,constraints,schema_metadata,constraints,admin_graphql_metafields,definition create/update where supported,INITIAL_RESEARCH
metafield_definition,description,schema_metadata,description,admin_graphql_metafields,definition create/update where supported,INITIAL_RESEARCH
metafield_definition,key,schema_metadata,field key,admin_graphql_metafields,definition create/update where supported,INITIAL_RESEARCH
metafield_definition,name,schema_metadata,display name,admin_graphql_metafields,definition create/update where supported,INITIAL_RESEARCH
metafield_definition,namespace,schema_metadata,namespace,admin_graphql_metafields,definition create/update where supported,INITIAL_RESEARCH
metafield_definition,ownerType,schema_metadata,resource owner type,admin_graphql_metafields,definition create/update where supported,INITIAL_RESEARCH
metafield_definition,type,schema_metadata,field type,admin_graphql_metafields,definition create/update where supported,INITIAL_RESEARCH
metafield_definition,validations,schema_metadata,validation rules,admin_graphql_metafields,definition create/update where supported,INITIAL_RESEARCH
metaobject_upsert_input,handle,external_system_metadata,entry handle,admin_graphql_metaobjects,upsert; values form is full replacement and clears omitted keys,INITIAL_RESEARCH
metaobject_upsert_input,fields,structured_capability,partial field updates,admin_graphql_metaobjects,upsert; values form is full replacement and clears omitted keys,INITIAL_RESEARCH
metaobject_upsert_input,capabilities,structured_capability,capability state,admin_graphql_metaobjects,upsert; values form is full replacement and clears omitted keys,INITIAL_RESEARCH
metaobject_field_input,key,schema_metadata,field-definition key,admin_graphql_metaobjects,metaobject create/update/upsert,INITIAL_RESEARCH
metaobject_field_input,value,semantic_field,field value,admin_graphql_metaobjects,metaobject create/update/upsert,INITIAL_RESEARCH
product_bundle_create_input,components,structured_capability,component products,admin_graphql_bundles,productBundleCreate,INITIAL_RESEARCH
product_bundle_create_input,consolidatedOptions,structured_capability,consolidated options,admin_graphql_bundles,productBundleCreate,INITIAL_RESEARCH
product_bundle_create_input,title,semantic_field,bundle product title,admin_graphql_bundles,productBundleCreate,INITIAL_RESEARCH
product_bundle_component_input,componentProductId,external_system_metadata,component Product identity,admin_graphql_bundles,productBundleCreate/update surfaces,INITIAL_RESEARCH
product_bundle_component_input,optionSelections,structured_capability,component option mapping,admin_graphql_bundles,productBundleCreate/update,INITIAL_RESEARCH
product_bundle_component_input,quantity,domain_value,component quantity (<=2000),admin_graphql_bundles,productBundleCreate/update,INITIAL_RESEARCH
product_bundle_component_input,quantityOption,structured_capability,buyer-selectable quantity option; mutually exclusive with fixed quantity,admin_graphql_bundles,productBundleCreate/update,INITIAL_RESEARCH
combined_listing_relationship,parentProductId,external_system_metadata,parent product identity,admin_graphql_combined_listings,feature-specific write operations; entitlement applies,INITIAL_RESEARCH
combined_listing_relationship,childProductIds,structured_capability,child products,admin_graphql_combined_listings,feature-specific write operations; entitlement applies,INITIAL_RESEARCH
combined_listing_relationship,parentVariantId,external_system_metadata,variant identity/selector,admin_graphql_combined_listings,feature-specific write operations; entitlement applies,INITIAL_RESEARCH
publication_input,publicationId,connector_context,Publication GID,admin_graphql_publication,publishablePublish/unpublish; future date only online store,INITIAL_RESEARCH
publication_input,publishDate,connector_context,optional scheduled publication time,admin_graphql_publication,publishablePublish/unpublish; future date only online store,INITIAL_RESEARCH
price_list_fixed_price,priceListId,external_system_metadata,PriceList GID,admin_graphql_pricelists,fixed price add/update/delete; existing fixed price may be replaced,INITIAL_RESEARCH
price_list_fixed_price,variantId,external_system_metadata,ProductVariant GID,admin_graphql_pricelists,fixed price add/update/delete; existing fixed price may be replaced,INITIAL_RESEARCH
price_list_fixed_price,price,domain_value,fixed price,admin_graphql_pricelists,fixed price add/update/delete; existing fixed price may be replaced,INITIAL_RESEARCH
price_list_fixed_price,compareAtPrice,domain_value,fixed compare-at,admin_graphql_pricelists,fixed price add/update/delete; existing fixed price may be replaced,INITIAL_RESEARCH
translation_input,locale,connector_context,locale code,admin_graphql_translations,translation registration; exact support depends resource/key,INITIAL_RESEARCH
translation_input,key,semantic_field,translatable key,admin_graphql_translations,translation registration; exact support depends resource/key,INITIAL_RESEARCH
translation_input,value,semantic_field,localized value,admin_graphql_translations,translation registration; exact support depends resource/key,INITIAL_RESEARCH
translation_input,translatableContentDigest,external_system_metadata,optimistic source-content digest,admin_graphql_translations,translation registration; exact support depends resource/key,INITIAL_RESEARCH
translation_input,marketId,connector_context,optional market context,admin_graphql_translations,translation registration; exact support depends resource/key,INITIAL_RESEARCH
media_create_input,alt,semantic_field,alt text,admin_graphql_media,media create/association; validate type-specific constraints,INITIAL_RESEARCH
media_create_input,mediaContentType,domain_value,media type,admin_graphql_media,media create/association; validate type-specific constraints,INITIAL_RESEARCH
media_create_input,originalSource,domain_value,source URL / staged upload reference,admin_graphql_media,media create/association; validate type-specific constraints,INITIAL_RESEARCH
product_variant_relationship_update_input,parentVariantId,external_system_metadata,bundle variant identity,admin_graphql_bundles,app ownership: only owning app can manage assigned components,INITIAL_RESEARCH
product_variant_relationship_update_input,productVariantRelationshipsToCreate,structured_capability,component relationships to create,admin_graphql_bundles,app ownership: only owning app can manage assigned components,INITIAL_RESEARCH
product_variant_relationship_update_input,productVariantRelationshipsToUpdate,structured_capability,component quantities to update,admin_graphql_bundles,app ownership: only owning app can manage assigned components,INITIAL_RESEARCH
product_variant_relationship_update_input,productVariantRelationshipsToRemove,structured_capability,component relationships to remove,admin_graphql_bundles,app ownership: only owning app can manage assigned components,INITIAL_RESEARCH
product_csv_options,Option1 name,schema_metadata,CSV option dimension 1 name,product_csv,import can alter variant topology,INITIAL_RESEARCH
product_csv_options,Option1 value,schema_metadata,CSV option dimension 1 value,product_csv,import can create/update/delete variant combinations,INITIAL_RESEARCH
product_csv_options,Option2 name,schema_metadata,CSV option dimension 2 name,product_csv,import can alter variant topology,INITIAL_RESEARCH
product_csv_options,Option2 value,schema_metadata,CSV option dimension 2 value,product_csv,import can create/update/delete variant combinations,INITIAL_RESEARCH
product_csv_options,Option3 name,schema_metadata,CSV option dimension 3 name,product_csv,import can alter variant topology,INITIAL_RESEARCH
product_csv_options,Option3 value,schema_metadata,CSV option dimension 3 value,product_csv,import can create/update/delete variant combinations,INITIAL_RESEARCH
product_csv_markets,Included / [Market],connector_context,dynamic market inclusion column,product_csv,market-specific import/export representation,INITIAL_RESEARCH
product_csv_markets,Price / [Market],domain_value,dynamic market fixed price,product_csv,market-specific import/export representation,INITIAL_RESEARCH
product_csv_markets,Compare-at price / [Market],domain_value,dynamic market compare-at price,product_csv,market-specific import/export representation,INITIAL_RESEARCH
product_csv_metafields,product.metafields.<namespace>.<key>,structured_capability,Product metafield dynamic columns; variant metafields are not supported in product CSV,product_csv,Product metafield import supported; do not infer Variant metafield CSV support,INITIAL_RESEARCH
product_csv_media,Image URL,structured_capability,image source URL,product_csv,images only; product CSV does not transport 3D/video,INITIAL_RESEARCH
product_csv_media,Image position,domain_value,image ordering,product_csv,images only; product CSV does not transport 3D/video,INITIAL_RESEARCH
product_csv_media,Image alt text,domain_value,image alt,product_csv,images only; product CSV does not transport 3D/video,INITIAL_RESEARCH
product_csv_media,Variant image URL,structured_capability,variant image relation,product_csv,images only; product CSV does not transport 3D/video,INITIAL_RESEARCH
product_csv_destructive_semantics,missing Option1 name/value with dependent variant columns,connector_context,can create default variant / remove existing variant structure,product_csv,must be modeled explicitly before connector import certification,INITIAL_RESEARCH
product_csv_destructive_semantics,URL handle + Title on update,connector_context,identity requirements for updates,product_csv,must be modeled explicitly before connector import certification,INITIAL_RESEARCH
product_csv_destructive_semantics,Title only for new product,connector_context,minimal create requirement,product_csv,must be modeled explicitly before connector import certification,INITIAL_RESEARCH
product_set_input,category,connector_context,ProductSetInput.category,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,claimOwnership,structured_capability,ProductSetInput.claimOwnership,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,collections,structured_capability,ProductSetInput.collections,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,combinedListingRole,connector_context,ProductSetInput.combinedListingRole,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,descriptionHtml,semantic_field,ProductSetInput.descriptionHtml,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,files,structured_capability,ProductSetInput.files,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,giftCard,semantic_field,ProductSetInput.giftCard,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,giftCardTemplateSuffix,connector_context,ProductSetInput.giftCardTemplateSuffix,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,handle,connector_context,ProductSetInput.handle,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,metafields,structured_capability,ProductSetInput.metafields,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,productOptions,structured_capability,ProductSetInput.productOptions,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,productType,semantic_field,ProductSetInput.productType,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,redirectNewHandle,connector_context,ProductSetInput.redirectNewHandle,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,requiresSellingPlan,semantic_field,ProductSetInput.requiresSellingPlan,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,seo,structured_capability,ProductSetInput.seo,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,status,semantic_field,ProductSetInput.status,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,tags,semantic_field,ProductSetInput.tags,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,templateSuffix,connector_context,ProductSetInput.templateSuffix,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,title,semantic_field,ProductSetInput.title,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,variants,structured_capability,ProductSetInput.variants,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_set_input,vendor,semantic_field,ProductSetInput.vendor,admin_graphql_product_set,productSet; list fields collections/metafields/variants use replacement semantics,INITIAL_RESEARCH
product_variant_set_input,barcode,domain_value,ProductVariantSetInput.barcode,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,compareAtPrice,domain_value,ProductVariantSetInput.compareAtPrice,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,file,structured_capability,ProductVariantSetInput.file,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,id,external_system_metadata,ProductVariantSetInput.id,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,inventoryItem,structured_capability,ProductVariantSetInput.inventoryItem,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,inventoryPolicy,domain_value,ProductVariantSetInput.inventoryPolicy,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,inventoryQuantities,structured_capability,ProductVariantSetInput.inventoryQuantities,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,metafields,structured_capability,ProductVariantSetInput.metafields,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,optionValues,structured_capability,ProductVariantSetInput.optionValues,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,position,domain_value,ProductVariantSetInput.position,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,price,domain_value,ProductVariantSetInput.price,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,published,domain_value,ProductVariantSetInput.published,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,requiresComponents,domain_value,ProductVariantSetInput.requiresComponents,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,showUnitPrice,domain_value,ProductVariantSetInput.showUnitPrice,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,sku,domain_value,ProductVariantSetInput.sku,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,taxable,domain_value,ProductVariantSetInput.taxable,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,taxCode,domain_value,ProductVariantSetInput.taxCode,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
product_variant_set_input,unitPriceMeasurement,structured_capability,ProductVariantSetInput.unitPriceMeasurement,admin_graphql_product_set,productSet nested variant; list reconciliation semantics apply to variants as a list,INITIAL_RESEARCH
option_set_input,id,external_system_metadata,OptionSetInput.id,admin_graphql_product_set,productSet/product option set,INITIAL_RESEARCH
option_set_input,linkedMetafield,structured_capability,OptionSetInput.linkedMetafield,admin_graphql_product_set,productSet/product option set,INITIAL_RESEARCH
option_set_input,name,schema_metadata,OptionSetInput.name,admin_graphql_product_set,productSet/product option set,INITIAL_RESEARCH
option_set_input,position,schema_metadata,OptionSetInput.position,admin_graphql_product_set,productSet/product option set,INITIAL_RESEARCH
option_set_input,values,structured_capability,OptionSetInput.values,admin_graphql_product_set,productSet/product option set,INITIAL_RESEARCH
option_value_set_input,id,external_system_metadata,OptionValueSetInput.id,admin_graphql_product_set,productSet/product option set,INITIAL_RESEARCH
option_value_set_input,name,schema_metadata,OptionValueSetInput.name,admin_graphql_product_set,productSet/product option set,INITIAL_RESEARCH
file_set_input,alt,semantic_field,accessibility alt,admin_graphql_product_set,ProductSet/GiftCardProductSet; video and 3D original sources require staged upload URL,INITIAL_RESEARCH
file_set_input,contentType,connector_context,file content type,admin_graphql_product_set,ProductSet/GiftCardProductSet; video and 3D original sources require staged upload URL,INITIAL_RESEARCH
file_set_input,duplicateResolutionMode,connector_context,filename collision strategy,admin_graphql_product_set,ProductSet/GiftCardProductSet; video and 3D original sources require staged upload URL,INITIAL_RESEARCH
file_set_input,filename,connector_context,file name,admin_graphql_product_set,ProductSet/GiftCardProductSet; video and 3D original sources require staged upload URL,INITIAL_RESEARCH
file_set_input,id,external_system_metadata,existing file GID,admin_graphql_product_set,ProductSet/GiftCardProductSet; video and 3D original sources require staged upload URL,INITIAL_RESEARCH
file_set_input,originalSource,connector_context,external/staged source URL,admin_graphql_product_set,ProductSet/GiftCardProductSet; video and 3D original sources require staged upload URL,INITIAL_RESEARCH
product_bundle_component_input,productId,external_system_metadata,component Product GID,admin_graphql_bundles,productBundleCreate/update,INITIAL_RESEARCH
product_bundle_consolidated_option_input,optionName,schema_metadata,consolidated option name,admin_graphql_bundles,productBundleCreate/update,INITIAL_RESEARCH
product_bundle_consolidated_option_input,optionSelections,structured_capability,mapping of consolidated values to component options,admin_graphql_bundles,productBundleCreate/update,INITIAL_RESEARCH
product_bundle_consolidated_option_component_input,componentOptionId,external_system_metadata,component option GID; null may target quantity option,admin_graphql_bundles,nested consolidated-option mapping,INITIAL_RESEARCH
product_bundle_consolidated_option_component_input,componentOptionValue,schema_metadata,component option value,admin_graphql_bundles,nested consolidated-option mapping,INITIAL_RESEARCH
gift_card_product_set_input,collections,structured_capability,GiftCardProductSetInput.collections,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,crossCurrencyRedeemable,domain_value,GiftCardProductSetInput.crossCurrencyRedeemable,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,descriptionHtml,domain_value,GiftCardProductSetInput.descriptionHtml,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,files,structured_capability,GiftCardProductSetInput.files,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,giftCardTemplateSuffix,domain_value,GiftCardProductSetInput.giftCardTemplateSuffix,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,handle,domain_value,GiftCardProductSetInput.handle,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,issuanceCurrency,domain_value,GiftCardProductSetInput.issuanceCurrency,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,metafields,structured_capability,GiftCardProductSetInput.metafields,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,productOptions,structured_capability,GiftCardProductSetInput.productOptions,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,productType,domain_value,GiftCardProductSetInput.productType,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,redirectNewHandle,domain_value,GiftCardProductSetInput.redirectNewHandle,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,seo,structured_capability,GiftCardProductSetInput.seo,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,status,domain_value,GiftCardProductSetInput.status,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,tags,domain_value,GiftCardProductSetInput.tags,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
gift_card_product_set_input,templateSuffix,domain_value,GiftCardProductSetInput.templateSuffix,admin_graphql_gift_card_product,giftCardProductSet; list fields replace omitted entries,INITIAL_RESEARCH
