source_id,subject_type,evidence_subject_key,source_kind,source_organization,source_title,source_url_or_state,source_ref_or_state,source_version,verified_at,evidence_locator,evidence_note
s053,decision,decision:DEC-006,official_web_doc,Schema.org,suggestedMinAge property,https://schema.org/suggestedMinAge,not_applicable,unversioned,2026-07-16,"Property definition","Evidence that Schema.org represents age as a numeric value, not the Google 5-bucket enum."
s054,decision,decision:DEC-006,official_web_doc,Schema.org,suggestedMaxAge property,https://schema.org/suggestedMaxAge,not_applicable,unversioned,2026-07-16,"Property definition","Evidence that Schema.org represents age as a numeric value, not the Google 5-bucket enum."
s055,decision,decision:DEC-006,official_web_doc,Shopify,TaxonomyValue - GraphQL Admin API Reference,https://shopify.dev/docs/api/admin-graphql/latest/objects/TaxonomyValue,not_applicable,unversioned,2026-07-16,"TaxonomyValue object (id, name)","Evidence that Shopify represents taxonomy values via globally-unique ID, not bare display strings; basis for deferring Shopify age_group mapping."
s056,decision,decision:DEC-007,official_web_doc,Google,Gender [gender] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324479?hl=en,not_applicable,unversioned,2026-07-16,"Supported values","Evidence for the Google three-value subset compared against in DEC-007."
s057,decision,decision:DEC-007,official_web_doc,Shopify,TaxonomyValue - GraphQL Admin API Reference,https://shopify.dev/docs/api/admin-graphql/latest/objects/TaxonomyValue,not_applicable,unversioned,2026-07-16,"TaxonomyValue object (id, name)","Evidence that Shopify represents taxonomy values via globally-unique ID, not bare display strings; basis for deferring Shopify gender mapping."
s058,decision,decision:DEC-008,official_web_doc,Schema.org,name property,https://schema.org/name,not_applicable,unversioned,2026-07-16,Property definition,Evidence for generic name as canonical product property.
s059,decision,decision:DEC-008,official_web_doc,Schema.org,url property,https://schema.org/url,not_applicable,unversioned,2026-07-16,Property definition,Evidence for url as primary customer-facing product page URL.
s060,decision,decision:DEC-008,api_schema,Shopify,Product - GraphQL Admin API,https://shopify.dev/docs/api/admin-graphql/latest/objects/Product,not_applicable,unversioned,2026-07-16,"title and handle fields","Evidence that Shopify title and handle are external channel concepts not substitutes for canonical name or url."
s061,decision,decision:DEC-008,repository_code,babypark,FieldFoundationCustomerSeed name,not_applicable,app/Support/Migrations/FieldFoundationCustomerSeed.php,develop,2026-07-16,name definition for Customer,Existing global name FieldDefinition shared via bindings.
s062,decision,decision:DEC-008,repository_code,babypark,FieldDefinitionSeeder name binding,not_applicable,database/seeders/FieldDefinitionSeeder.php,develop,2026-07-16,systemAttributes() name entry,Product binding to products.name via shared definition.
s063,decision,decision:DEC-008,repository_code,babypark,Product model,not_applicable,app/Models/Product.php,develop,2026-07-16,name column on products table,Database column already named name.
s064,decision,decision:DEC-009,official_web_doc,GS1 US,Product Field Definitions - Net Weight,https://www.gs1us.org/resources/data-hub-help-center/product-field-definitions,not_applicable,unversioned,2026-07-16,Net Weight definition,"Net is the weight of the product itself excluding container packaging."
s065,decision,decision:DEC-009,official_web_doc,GS1 US,Product Field Definitions - Gross Weight,https://www.gs1us.org/resources/data-hub-help-center/product-field-definitions,not_applicable,unversioned,2026-07-16,Gross Weight definition,"Gross is the weight of the product plus the weight of its container or packaging."
s066,alias,alias:name:en:product_name:legacy_code:global,repository_document,babypark,Canonical Product Field Registry - DEC-008,not_applicable,docs/CANONICAL_PRODUCT_FIELD_REGISTRY.md,unversioned,2026-07-16,DEC-008 legacy_code alias,Verified legacy import alias for former product_name code.
s067,alias,alias:url:en:product_url:legacy_code:global,repository_document,babypark,Canonical Product Field Registry - DEC-008,not_applicable,docs/CANONICAL_PRODUCT_FIELD_REGISTRY.md,unversioned,2026-07-16,DEC-008 legacy_code alias,Verified legacy import alias for former product_url code.
s068,alias,alias:net_weight:en:weight_netto:legacy_code:global,repository_document,babypark,Canonical Product Field Registry - DEC-009,not_applicable,docs/CANONICAL_PRODUCT_FIELD_REGISTRY.md,unversioned,2026-07-16,DEC-009 legacy_code alias,Verified legacy import alias for former weight_netto code.
s069,alias,alias:gross_weight:en:weight_brutto:legacy_code:global,repository_document,babypark,Canonical Product Field Registry - DEC-009,not_applicable,docs/CANONICAL_PRODUCT_FIELD_REGISTRY.md,unversioned,2026-07-16,DEC-009 legacy_code alias,Verified legacy import alias for former weight_brutto code.
s070,decision,decision:DEC-010,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,"Simple product CSV file structure table","CSV reference used only as supporting evidence, not mapping surface."
s071,decision,decision:DEC-010,official_web_doc,Adobe,Create a configurable product | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-learn/tutorials/getting-started/create-products/create-configurable-product,not_applicable,unversioned,2026-07-16,"cURL POST /V1/products example body","Confirms sku, name, status as top-level ProductInterface properties; confirms color delivered via custom_attributes with environment-specific option IDs."
s072,decision,decision:DEC-010,api_schema,Adobe,Adobe Commerce Admin REST API 2.4.9 - products,https://adobe-commerce.redoc.ly/2.4.9-admin/tag/products/,not_applicable,2.4.9-admin,2026-07-16,"products resource schema","Confirms custom_attributes as an array of attribute_code/value objects and extension_attributes.category_links as an array of category_id/position objects, version-pinned to 2.4.9-admin."
s073,decision,decision:DEC-010,repository_code,Magento Open Source,ProductRepository.php,https://github.com/magento/magento2,app/code/Magento/Catalog/Model/ProductRepository.php,2.4.9,2026-07-16,"save() method","Directly confirms the empty-SKU guard: if (!$product->getSku()) throw new CouldNotSaveException(...)."
s074,mapping,mapping:adobe_commerce:sku:sku:a031:2.4.9-admin-rest,api_schema,Adobe,Adobe Commerce Admin REST API 2.4.9 - products,https://adobe-commerce.redoc.ly/2.4.9-admin/tag/products/,not_applicable,2.4.9-admin,2026-07-16,"products resource schema","Confirms sku as a top-level ProductInterface property (REST path evidence, distinct from the required-guard evidence in s083)."
s075,applicability,applicability:a031,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,"sku field description","sku described as the only required value (corroborating evidence)."
s076,applicability,applicability:a031,repository_code,Magento Open Source,ProductRepository.php,https://github.com/magento/magento2,app/code/Magento/Catalog/Model/ProductRepository.php,2.4.9,2026-07-16,"save() method","Primary evidence: empty-SKU guard throws CouldNotSaveException."
s077,applicability,applicability:a032,api_schema,Adobe,Adobe Commerce Admin REST API 2.4.9 - products,https://adobe-commerce.redoc.ly/2.4.9-admin/tag/products/,not_applicable,2.4.9-admin,2026-07-16,"products resource schema","name is a top-level property; not independently confirmed as REST-required."
s078,applicability,applicability:a033,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,"description field description","description is a stable Adobe attribute code."
s079,applicability,applicability:a034,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,"short_description field description","short_description is a stable Adobe attribute code."
s080,applicability,applicability:a035,api_schema,Adobe,Adobe Commerce Admin REST API 2.4.9 - products,https://adobe-commerce.redoc.ly/2.4.9-admin/tag/products/,not_applicable,2.4.9-admin,2026-07-16,"products resource schema","Category relation exists as extension_attributes.category_links."
s081,applicability,applicability:a036,api_schema,Adobe,Adobe Commerce Admin REST API 2.4.9 - products,https://adobe-commerce.redoc.ly/2.4.9-admin/tag/products/,not_applicable,2.4.9-admin,2026-07-16,"products resource schema","status is a top-level property."
s082,applicability,applicability:a036,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,"product_online field description","Confirms 1=enabled, 2=disabled meaning (corroborating evidence for the value semantics)."
s083,mapping,mapping:adobe_commerce:sku:sku:a031:2.4.9-admin-rest,repository_code,Magento Open Source,ProductRepository.php,https://github.com/magento/magento2,app/code/Magento/Catalog/Model/ProductRepository.php,2.4.9,2026-07-16,"save() method","sku is guarded as required in the core save flow (required-semantics evidence, distinct from the REST-path evidence in s074)."
s084,mapping,mapping:adobe_commerce:name:name:a032:2.4.9-admin-rest,api_schema,Adobe,Adobe Commerce Admin REST API 2.4.9 - products,https://adobe-commerce.redoc.ly/2.4.9-admin/tag/products/,not_applicable,2.4.9-admin,2026-07-16,"products resource schema","name top-level field."
s085,mapping,mapping:adobe_commerce:description:custom_attributes[attribute_code=description].value:a033:2.4.9-admin-rest,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,"description field description","description is a stable Adobe attribute code (part 1 of 2: attribute exists)."
s086,mapping,mapping:adobe_commerce:description:custom_attributes[attribute_code=description].value:a033:2.4.9-admin-rest,api_schema,Adobe,Adobe Commerce Admin REST API 2.4.9 - products,https://adobe-commerce.redoc.ly/2.4.9-admin/tag/products/,not_applicable,2.4.9-admin,2026-07-16,"products resource schema","Confirms non-top-level attributes are delivered via the custom_attributes array (part 2 of 2: REST path)."
s087,mapping,mapping:adobe_commerce:short_description:custom_attributes[attribute_code=short_description].value:a034:2.4.9-admin-rest,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,"short_description field description","short_description is a stable Adobe attribute code (part 1 of 2)."
s088,mapping,mapping:adobe_commerce:short_description:custom_attributes[attribute_code=short_description].value:a034:2.4.9-admin-rest,api_schema,Adobe,Adobe Commerce Admin REST API 2.4.9 - products,https://adobe-commerce.redoc.ly/2.4.9-admin/tag/products/,not_applicable,2.4.9-admin,2026-07-16,"products resource schema","Confirms REST path via the custom_attributes array (part 2 of 2)."
s089,mapping,mapping:adobe_commerce:category:extension_attributes.category_links[].category_id:a035:2.4.9-admin-rest,api_schema,Adobe,Adobe Commerce Admin REST API 2.4.9 - products,https://adobe-commerce.redoc.ly/2.4.9-admin/tag/products/,not_applicable,2.4.9-admin,2026-07-16,"products resource schema","Confirms exact structure: category_links entries expose category_id and position."
s090,mapping,mapping:adobe_commerce:status:status:a036:2.4.9-admin-rest,api_schema,Adobe,Adobe Commerce Admin REST API 2.4.9 - products,https://adobe-commerce.redoc.ly/2.4.9-admin/tag/products/,not_applicable,2.4.9-admin,2026-07-16,"products resource schema","status top-level field (part 1 of 2: top-level property)."
s091,mapping,mapping:adobe_commerce:status:status:a036:2.4.9-admin-rest,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,"product_online field description","Confirms 1=enabled, 2=disabled meaning (part 2 of 2: value semantics)."
s092,constraint,constraint:c008,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,"sku field description","A SKU can be up to 64 characters in length; longer values cause import to fail."
s093,channel_decision,channel_decision:cd001,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,DEC-010 — price deferred,"price deferred pending Pricing Domain + product-type policy (DEC-010)."
s094,channel_decision,channel_decision:cd002,repository_document,babypark,Implementation Gaps - GAP-023,not_applicable,docs/IMPLEMENTATION_GAPS.md,unversioned,2026-07-16,GAP-023 — net_weight deferred,"net_weight deferred pending measurement unit contract (GAP-023)."
s095,channel_decision,channel_decision:cd003,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,DEC-010 — url deferred,"url deferred pending slug/rewrite ownership policy (DEC-010)."
s096,channel_decision,channel_decision:cd004,official_web_doc,Adobe,Create a configurable product | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-learn/tutorials/getting-started/create-products/create-configurable-product,not_applicable,unversioned,2026-07-16,DEC-010 — color account_specific,"color option IDs are installation-specific; account_specific per DEC-010."
s097,channel_decision,channel_decision:cd005,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,DEC-010 — manufacturer account_specific,"manufacturer attribute ambiguity; account_specific per DEC-010."
s098,channel_decision,channel_decision:cd006,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,DEC-010 — brand account_specific,"brand/manufacturer ambiguity symmetric; account_specific per DEC-010."
s099,channel_decision,channel_decision:cd007,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,DEC-010 — meta_title deferred,"meta_title deferred pending SEO/localization/store-view policy (DEC-010)."
s100,channel_decision,channel_decision:cd008,official_web_doc,Adobe,Product data attributes reference | Adobe Commerce,https://experienceleague.adobe.com/en/docs/commerce-admin/systems/data-transfer/data-attributes-product,not_applicable,unversioned,2026-07-16,DEC-010 — meta_description deferred,"meta_description deferred pending SEO/localization/store-view policy (DEC-010)."
s101,field,field:onec_guid,repository_code,babypark,Product.onec_guid legacy column,not_applicable,database/migrations/2024_06_01_100001_create_products_table.php,develop@3c3f926,2026-08-17,products.onec_guid unique uuid,"Physical 1C identity column remains; canonical classification is connector_only per DEC-011. Do not create a FieldDefinition."
s102,decision,decision:DEC-011,repository_document,babypark,Canonical Product Field Registry - DEC-011,not_applicable,docs/CANONICAL_PRODUCT_FIELD_REGISTRY.md,unversioned,2026-08-17,DEC-011 — onec_guid is connector-owned identity,"Reclassifies onec_guid from core_model_property Product/System to connector_only external identity. Destination is account-scoped ExternalRecordLink, not FieldDefinition."
