product_type,marketplace,requirements,property_group,external_field,classification,parentage_level,schema_version_token,verified_at,source_url
LUGGAGE,ATVPDKIKX0DER,LISTING,images,other_product_image_locator_1,media_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,images,other_product_image_locator_2,media_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,images,other_product_image_locator_3,media_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,images,other_product_image_locator_4,media_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,images,other_product_image_locator_5,media_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,images,other_product_image_locator_6,media_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,images,other_product_image_locator_7,media_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,images,other_product_image_locator_8,media_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,images,swatch_product_image_locator,media_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,shipping,item_dimensions,logistics_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,shipping,item_package_dimensions,logistics_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,shipping,item_package_weight,logistics_domain,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,variations,parentage_level,variant_relationship_schema,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,variations,child_parent_sku_relationship,variant_relationship_schema,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,variations,variation_theme,variant_relationship_schema,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,country_of_origin,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,warranty_description,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,batteries_required,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,batteries_included,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,battery,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,num_batteries,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,number_of_lithium_metal_cells,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,number_of_lithium_ion_cells,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,lithium_battery,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,supplier_declared_dg_hz_regulation,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,hazmat,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,safety_data_sheet_url,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,item_weight,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,ghs,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,supplier_declared_material_regulation,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,california_proposition_65,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,safety_and_compliance,pesticide_marking,compliance_or_specialized_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_identity,item_name,product_identity_or_semantic,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_identity,brand,product_identity_or_semantic,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_identity,supplier_declared_has_product_identifier_exemption,product_identity_or_semantic,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_identity,externally_assigned_product_identifier,product_identity_or_semantic,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_identity,merchant_suggested_asin,product_identity_or_semantic,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_identity,item_type_keyword,product_identity_or_semantic,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_identity,item_type_name,product_identity_or_semantic,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_identity,model_number,product_identity_or_semantic,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_identity,manufacturer,product_identity_or_semantic,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,product_description,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,bullet_point,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,special_feature,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,style,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,department,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,target_gender,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,age_range_description,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,material,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,outer,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,fabric_type,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,lining_description,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,number_of_items,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,number_of_wheels,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,wheel,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,model_name,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,color,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,size,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,size_map,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,part_number,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
LUGGAGE,ATVPDKIKX0DER,LISTING,product_details,compliance_media,semantic_product_field,NONE example,U8L4z4Ud95N16tZlR7rsmbQ==,2026-09-07,https://developer-docs.amazon.com/sp-api/lang-en_EN/docs/manage-product-listings-guide
