internal_code,canonical_english_name,uk_label,ru_label,description,implementation_kind,storage_owner,field_definition_eligibility,binding_strategy,scope,field_group_or_state,data_type_or_state,value_shape,structure_schema_ref,is_localizable,value_localization_strategy,channel_value_strategy,inheritance_strategy,is_multi_value,unit_family,status,mvp_tier,default_enabled,verification_status,recommended_action,supports_admin_display,supports_b2b_display,supports_search,supports_filter,supports_table_column,evidence_subject_key
package_quantity,Package Quantity,Кількість в упаковці,Количество в упаковке,Units per consumer package.,core_model_property,Product,yes,product,system,logistics,number,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,C,false,verified,keep_as_is,true,false,false,false,false,field:package_quantity
package_type,Package Type,Тип упаковки,Тип упаковки,Packaging form descriptor.,core_model_property,Product,yes,product,system,logistics,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,C,false,partially_verified,keep_as_is,true,false,false,false,false,field:package_type
units_per_box,Units Per Box,Одиниць у коробці,Единиц в коробке,Trade units per shipping box.,core_model_property,Product,yes,product,system,logistics,number,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,C,false,verified,keep_as_is,true,false,false,false,false,field:units_per_box
boxes_per_pallet,Boxes Per Pallet,Коробок на палеті,Коробок на паллете,Shipping boxes per pallet.,core_model_property,Product,yes,product,system,logistics,number,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,C,false,verified,keep_as_is,true,false,false,false,false,field:boxes_per_pallet
lead_time_days,Lead Time Days,Термін поставки (дні),Срок поставки (дни),Expected fulfillment lead time.,core_model_property,Product,yes,product,system,logistics,number,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,C,false,verified,keep_as_is,true,false,false,false,false,field:lead_time_days
net_weight,Net Weight,Вага нетто,Вес нетто,Physical mass of the product itself excluding packaging.,core_model_property,Product,yes,product,system,logistics,decimal,measurement,not_applicable,false,not_localizable,global_value,none,false,mass,active,B,false,verified,keep_as_is,true,false,false,false,true,field:net_weight
gross_weight,Gross Weight,Вага брутто,Вес брутто,Physical mass of the sellable unit including immediate consumer packaging.,core_model_property,Product,yes,product,system,logistics,decimal,measurement,not_applicable,false,not_localizable,global_value,none,false,mass,active,B,false,verified,keep_as_is,true,false,false,false,true,field:gross_weight
volume_m3,Volume,Об'єм,Объём,Product volume in cubic meters.,core_model_property,Product,yes,product,system,logistics,decimal,measurement,not_applicable,false,not_localizable,global_value,none,false,volume,active,C,false,verified,keep_as_is,true,false,false,false,false,field:volume_m3
depth_mm,Depth,Глибина,Глубина,Product depth in millimeters.,core_model_property,Product,yes,product,system,logistics,number,measurement,not_applicable,false,not_localizable,global_value,none,false,length,active,C,false,verified,keep_as_is,true,false,false,false,false,field:depth_mm
width_mm,Width,Ширина,Ширина,Product width in millimeters.,core_model_property,Product,yes,product,system,logistics,number,measurement,not_applicable,false,not_localizable,global_value,none,false,length,active,C,false,verified,keep_as_is,true,false,false,false,false,field:width_mm
height_mm,Height,Висота,Высота,Product height in millimeters.,core_model_property,Product,yes,product,system,logistics,number,measurement,not_applicable,false,not_localizable,global_value,none,false,length,active,C,false,verified,keep_as_is,true,false,false,false,false,field:height_mm
meta_title,Meta Title,Meta заголовок,Meta заголовок,HTML page title for SEO.,core_model_property,Product,yes,product,system,seo,text,scalar,not_applicable,false,not_localizable,channel_override_allowed,none,false,not_applicable,active,B,false,verified,keep_as_is,true,false,true,false,false,field:meta_title
meta_description,Meta Description,Meta опис,Meta описание,HTML meta description for SEO.,core_model_property,Product,yes,product,system,seo,long_text,scalar,not_applicable,false,not_localizable,channel_override_allowed,none,false,not_applicable,active,B,false,verified,keep_as_is,true,false,true,false,false,field:meta_description
rozetka_category_id,Rozetka Category ID,ID категорії Rozetka,ID категории Rozetka,External Rozetka marketplace category reference.,connector_only,ConnectorMapping,no,not_applicable,not_applicable,not_applicable,not_applicable,reference,not_applicable,not_applicable,not_applicable,connector_transformation_only,not_applicable,false,not_applicable,active,C,false,partially_verified,connector_mapping_only,true,false,false,false,false,field:rozetka_category_id
color,Color,Колір,Цвет,Variant color characteristic.,dynamic_field,FieldDefinition,yes,product_variant,platform_library,characteristics,select,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,B,false,verified,keep_as_is,true,true,false,true,false,field:color
size,Size,Розмір,Размер,Variant size characteristic.,dynamic_field,FieldDefinition,yes,product_variant,platform_library,characteristics,select,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,B,false,verified,keep_as_is,true,true,false,true,false,field:size
material,Material,Матеріал,Материал,Primary material composition.,dynamic_field,FieldDefinition,yes,product,platform_library,characteristics,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,proposed,C,false,partially_verified,add_to_platform_library,true,true,false,true,false,field:material
age_group,Age Group,Вікова група,Возрастная группа,Target consumer age segment.,dynamic_field,FieldDefinition,yes,product,platform_library,characteristics,select,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,proposed,C,false,partially_verified,add_to_platform_library,true,false,false,true,false,field:age_group
gender,Gender,Стать,Пол,Target gender segment.,dynamic_field,FieldDefinition,yes,product,platform_library,characteristics,select,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,proposed,C,false,partially_verified,add_to_platform_library,true,false,false,true,false,field:gender
country_of_origin,Country of Origin,Країна походження,Страна происхождения,Manufacturing or origin country ISO code.,dynamic_field,FieldDefinition,yes,product,platform_library,characteristics,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,proposed,C,false,partially_verified,add_to_platform_library,true,true,false,true,false,field:country_of_origin
manufacturer,Manufacturer,Виробник,Производитель,Legal manufacturer entity name.,dynamic_field,FieldDefinition,yes,product,platform_library,basic_information,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,proposed,C,false,partially_verified,add_to_platform_library,true,true,true,true,false,field:manufacturer
model,Model,Модель,Модель,Manufacturer model name or number.,dynamic_field,FieldDefinition,yes,product,platform_library,basic_information,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,proposed,C,false,partially_verified,add_to_platform_library,true,true,true,true,false,field:model
compatibility,Compatibility,Сумісність,Совместимость,Compatible devices or products.,dynamic_field,FieldDefinition,yes,product,platform_library,characteristics,long_text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,proposed,C,false,partially_verified,add_to_platform_library,true,true,true,false,false,field:compatibility
battery_type,Battery Type,Тип батареї,Тип батареи,Battery chemistry or form factor.,dynamic_field,FieldDefinition,yes,product,platform_library,characteristics,text,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,proposed,C,false,partially_verified,add_to_platform_library,true,false,false,false,false,field:battery_type
shipping_required,Shipping Required,Потребує доставки,Требует доставки,Whether physical shipping applies.,dynamic_field,FieldDefinition,yes,product_variant,platform_library,logistics,boolean,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,C,false,verified,keep_as_is,true,false,false,true,false,field:shipping_required
backorder_policy,Backorder Policy,Замовлення за відсутності,Заказ при отсутствии,Allow orders when out of stock.,dynamic_field,FieldDefinition,yes,product_variant,platform_library,availability,select,scalar,not_applicable,false,not_localizable,global_value,none,false,not_applicable,active,C,false,verified,keep_as_is,true,false,false,true,false,field:backorder_policy
technical_characteristics,Technical Characteristics,Технічні характеристики,Технические характеристики,Structured technical specs text.,dynamic_field,FieldDefinition,yes,product,platform_library,descriptions,long_text,localized_scalar,not_applicable,true,locale_value,global_value,none,false,not_applicable,active,B,false,verified,keep_as_is,true,true,false,false,false,field:technical_characteristics
instructions,Instructions,Інструкція,Инструкция,Usage or assembly instructions.,dynamic_field,FieldDefinition,yes,product,platform_library,descriptions,long_text,localized_scalar,not_applicable,true,locale_value,global_value,none,false,not_applicable,active,B,false,verified,keep_as_is,true,true,false,false,false,field:instructions
accessory,Accessory Relationship,Аксесуар,Аксессуар,Product accessory association.,product_association_domain,ProductAssociation,no,not_applicable,not_applicable,not_applicable,not_applicable,reference_list,not_applicable,not_applicable,not_applicable,not_applicable,domain_owned,true,not_applicable,proposed,not_applicable,not_applicable,partially_verified,relation_not_field,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,field:accessory
compatible_with,Compatible With,Сумісний з,Совместим с,Compatibility product association.,product_association_domain,ProductAssociation,no,not_applicable,not_applicable,not_applicable,not_applicable,reference_list,not_applicable,not_applicable,not_applicable,not_applicable,domain_owned,true,not_applicable,proposed,not_applicable,not_applicable,partially_verified,relation_not_field,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,field:compatible_with
cross_sell,Cross-sell Relationship,Перехресний продаж,Перекрёстная продажа,Cross-sell product association.,product_association_domain,ProductAssociation,no,not_applicable,not_applicable,not_applicable,not_applicable,reference_list,not_applicable,not_applicable,not_applicable,not_applicable,domain_owned,true,not_applicable,proposed,not_applicable,not_applicable,partially_verified,relation_not_field,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,field:cross_sell
has_energy_consumption_details,Energy Consumption Details,Деталі енергоспоживання,Детали энергопотребления,EU energy label data; legal obligation unverified.,compliance_entity,not_implemented,no,product,platform_library,characteristics,not_applicable,structured_object,not_applicable,false,not_localizable,requires_research,none,false,not_applicable,proposed,not_applicable,not_applicable,needs_legal_review,needs_legal_review,true,false,false,false,false,field:has_energy_consumption_details
variant_attributes,Variant Attributes JSON,Атрибути варіанту,Атрибуты варианта,Legacy JSON blob for variant option pairs.,core_model_property,ProductVariant,no,product_variant,system,characteristics,not_applicable,structured_object,not_applicable,false,not_localizable,not_applicable,none,false,not_applicable,active,B,false,verified,computed_not_editable,true,true,false,false,false,field:variant_attributes
synced_at,Last Sync Timestamp,Час останньої синхронізації,Время последней синхронизации,1C sync timestamp metadata.,computed_projection,calculated,no,product_and_variant_two_bindings,system,internal,date,scalar,not_applicable,false,not_localizable,not_applicable,two_independent_bindings,false,not_applicable,active,C,false,verified,computed_not_editable,true,false,false,false,false,field:synced_at
