applicability_id,internal_code,context_type,context_key,channel_or_state,market_or_state,country_or_state,product_type_or_state,category_taxonomy_or_state,category_code_or_state,entity_level,parentage_level,operation,requirement_level,effective_from,effective_to,schema_version,verification_status,evidence_subject_key
a044,price,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a044
a045,sale_price,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a045
a046,availability,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a046
a047,image,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,recommended,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a047
a048,images,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a048
a049,age_group,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,conditionally_required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a049
a050,gender,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,conditionally_required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a050
a051,color,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,conditionally_required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a051
a052,size,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,conditionally_required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a052
a053,material,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,conditionally_required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a053
a054,pattern,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,conditionally_required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a054
a055,product_highlights,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a055
a056,net_weight,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a056
a057,gross_weight,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a057
a058,depth_mm,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a058
a059,width_mm,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a059
a060,height_mm,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a060
a061,url,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a061
a062,sku,channel,google_merchant:all_products,google_merchant,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,required,2026-09-07,open_ended,products_v1-2026-09-07,verified,applicability:a062
a063,name,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,required,2026-09-07,open_ended,2026-07-admin-graphql,verified,applicability:a063
a064,description,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,2026-07-admin-graphql,verified,applicability:a064
a065,status,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,2026-07-admin-graphql,verified,applicability:a065
a066,sku,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,2026-07-admin-graphql,verified,applicability:a066
a067,gtin,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,2026-07-admin-graphql,verified,applicability:a067
a068,merchant_type,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,2026-07-admin-graphql,verified,applicability:a068
a069,tags,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,2026-07-admin-graphql,verified,applicability:a069
a070,meta_title,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,2026-07-admin-graphql,verified,applicability:a070
a071,meta_description,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,2026-07-admin-graphql,verified,applicability:a071
a072,country_of_origin,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,2026-07-admin-graphql,verified,applicability:a072
a073,shipping_required,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,2026-07-admin-graphql,verified,applicability:a073
a074,net_weight,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,2026-07-admin-graphql,verified,applicability:a074
a075,name,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,required,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a075
a076,description,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a076
a077,brand,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a077
a078,sku,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a078
a079,gtin,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a079
a080,mpn,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a080
a081,price,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a081
a082,sale_price,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a082
a083,cost_price,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a083
a084,recommended_retail_price,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a084
a085,net_weight,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a085
a086,depth_mm,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a086
a087,width_mm,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a087
a088,height_mm,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a088
a089,meta_title,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a089
a090,meta_description,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a090
a091,warranty,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a091
a092,min_order_quantity,channel,bigcommerce:all_products,bigcommerce,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product,not_applicable,publish,optional,2026-09-07,open_ended,v3-openapi-2026-09-07,verified,applicability:a092
a093,name,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a093
a094,brand,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a094
a095,description,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a095
a096,gtin,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product_variant,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a096
a097,condition,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product_variant,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a097
a098,country_of_origin,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a098
a099,manufacturer,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a099
a100,model,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a100
a101,material,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a101
a102,age_group,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a102
a103,gender,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a103
a104,color,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product_variant,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a104
a105,size,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product_variant,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a105
a106,style,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product_variant,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a106
a107,warranty,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a107
a108,product_highlights,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a108
a109,recommended_retail_price,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product_variant,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a109
a110,net_weight,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a110
a111,gross_weight,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a111
a112,package_quantity,product_type,amazon:ATVPDKIKX0DER:LUGGAGE,amazon,ATVPDKIKX0DER,US,LUGGAGE,not_applicable,not_applicable,product,not_applicable,publish,undecided,2026-09-07,open_ended,ptd-2020-09-01-luggage-public-example,verified,applicability:a112
a113,gtin,channel,shopify:all_products,shopify,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,optional,undecided,open_ended,2024-10,partially_verified,applicability:a113
a114,gtin,channel,schema_org:all_products,schema_org,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,recommended,undecided,open_ended,unversioned,verified,applicability:a114
a115,price,channel,schema_org:all_products,schema_org,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,product_variant,not_applicable,publish,recommended,undecided,open_ended,unversioned,verified,applicability:a115
