adobe_key_or_capability,entry_kind,cluster,edition_scope,source_surface,review_status
giftcard_lifetime,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
use_config_allow_message,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
giftcard_allow_message,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
use_config_email_template,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
giftcard_email_template,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
gift_card_product,structured_capability,gift_card_product,Adobe Commerce,Import + core GraphQL + Admin REST,INITIAL_RESEARCH
associated_skus,structured_capability,grouped_composition,PaaS/Magento Open Source,Import API grouped-product representation,THIRD_PASS_RESEARCH
sku,semantic_field,identity_lifecycle,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
created_at,external_system_metadata,identity_lifecycle,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
updated_at,external_system_metadata,identity_lifecycle,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
entity_id,external_system_metadata,identity_lifecycle,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
qty,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
out_of_stock_qty,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
use_config_min_qty,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
is_qty_decimal,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
allow_backorders,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
use_config_backorders,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
min_cart_qty,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
use_config_min_sale_qty,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
max_cart_qty,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
use_config_max_sale_qty,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
is_in_stock,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
notify_on_stock_below,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
use_config_notify_stock_qty,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
manage_stock,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
use_config_manage_stock,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
use_config_qty_increments,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
qty_increments,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
use_config_enable_qty_inc,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
enable_qty_increments,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
is_decimal_divided,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
deferred_stock_update,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
use_config_deferred_stock_update,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
source_item,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
stock_and_source_assignment,domain_value,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
salable_quantity,derived_projection,inventory_availability,PaaS/Magento Open Source,Import + Inventory REST,INITIAL_RESEARCH
store_view_overrides,connector_context,localization_store_scope,PaaS/Magento Open Source,Admin REST / store scope,INITIAL_RESEARCH
base_image,domain_value,media,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
base_image_label,domain_value,media,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
small_image,domain_value,media,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
small_image_label,domain_value,media,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
thumbnail_image,domain_value,media,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
thumbnail_image_label,domain_value,media,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
swatch_image,domain_value,media,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
swatch_image_label,domain_value,media,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
additional_images,domain_value,media,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
additional_image_labels,domain_value,media,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
hide_from_product_page,domain_value,media,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
media_gallery_entries,structured_capability,media,PaaS/Magento Open Source,Admin REST GalleryManagement + product payload,THIRD_PASS_RESEARCH
media_video,domain_value,media,PaaS/Magento Open Source,Import + Admin REST + Catalog Service READ,INITIAL_RESEARCH
custom_design,connector_context,presentation_layout,PaaS/Magento Open Source,Import / Admin REST,INITIAL_RESEARCH
custom_design_from,connector_context,presentation_layout,PaaS/Magento Open Source,Import / Admin REST,INITIAL_RESEARCH
custom_design_to,connector_context,presentation_layout,PaaS/Magento Open Source,Import / Admin REST,INITIAL_RESEARCH
custom_layout_update,connector_context,presentation_layout,PaaS/Magento Open Source,Import / Admin REST,INITIAL_RESEARCH
page_layout,connector_context,presentation_layout,PaaS/Magento Open Source,Import / Admin REST,INITIAL_RESEARCH
price,domain_value,pricing,PaaS/Magento Open Source,Import + Catalog Pricing REST + GraphQL,INITIAL_RESEARCH
special_price,domain_value,pricing,PaaS/Magento Open Source,Import + Catalog Pricing REST + GraphQL,INITIAL_RESEARCH
special_price_from_date,domain_value,pricing,PaaS/Magento Open Source,Import + Catalog Pricing REST + GraphQL,INITIAL_RESEARCH
special_price_to_date,domain_value,pricing,PaaS/Magento Open Source,Import + Catalog Pricing REST + GraphQL,INITIAL_RESEARCH
map_price,domain_value,pricing,PaaS/Magento Open Source,Import + Catalog Pricing REST + GraphQL,INITIAL_RESEARCH
msrp_price,domain_value,pricing,PaaS/Magento Open Source,Import + Catalog Pricing REST + GraphQL,INITIAL_RESEARCH
map_enabled,domain_value,pricing,PaaS/Magento Open Source,Import + Catalog Pricing REST + GraphQL,INITIAL_RESEARCH
msrp_display_actual_price_type,domain_value,pricing,PaaS/Magento Open Source,Import + Catalog Pricing REST + GraphQL,INITIAL_RESEARCH
tier_prices,domain_value,pricing,PaaS/Magento Open Source,Import + Catalog Pricing REST + GraphQL,INITIAL_RESEARCH
base_price_storage,domain_value,pricing,PaaS/Magento Open Source,Import + Catalog Pricing REST + GraphQL,INITIAL_RESEARCH
special_price_storage,domain_value,pricing,PaaS/Magento Open Source,Import + Catalog Pricing REST + GraphQL,INITIAL_RESEARCH
cost_storage,domain_value,pricing,PaaS/Magento Open Source,Import + Catalog Pricing REST + GraphQL,INITIAL_RESEARCH
rating_summary,derived_projection,reviews_ratings,PaaS/Magento Open Source,core GraphQL / storefront,INITIAL_RESEARCH
review_count,derived_projection,reviews_ratings,PaaS/Magento Open Source,core GraphQL / storefront,INITIAL_RESEARCH
attribute_options,schema_metadata,select_multiselect_options,PaaS/Magento Open Source,Admin REST + live discovery,INITIAL_RESEARCH
url_key,semantic_field,seo_routing,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
meta_title,semantic_field,seo_routing,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
meta_keywords,semantic_field,seo_routing,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
meta_description,semantic_field,seo_routing,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
catalog_service_attributes,derived_projection,storefront_derived_readonly,PaaS Storefront Services + Adobe Commerce SaaS,Catalog Service / Storefront Services,INITIAL_RESEARCH
catalog_service_images,derived_projection,storefront_derived_readonly,PaaS Storefront Services + Adobe Commerce SaaS,Catalog Service / Storefront Services,INITIAL_RESEARCH
catalog_service_links,derived_projection,storefront_derived_readonly,PaaS Storefront Services + Adobe Commerce SaaS,Catalog Service / Storefront Services,INITIAL_RESEARCH
catalog_service_input_options,derived_projection,storefront_derived_readonly,PaaS Storefront Services + Adobe Commerce SaaS,Catalog Service / Storefront Services,INITIAL_RESEARCH
catalog_service_stock_flags,derived_projection,storefront_derived_readonly,PaaS Storefront Services + Adobe Commerce SaaS,Catalog Service / Storefront Services,INITIAL_RESEARCH
catalog_service_price,derived_projection,storefront_derived_readonly,PaaS Storefront Services + Adobe Commerce SaaS,Catalog Service / Storefront Services,INITIAL_RESEARCH
catalog_service_variants,derived_projection,storefront_derived_readonly,PaaS Storefront Services + Adobe Commerce SaaS,Catalog Service / Storefront Services,INITIAL_RESEARCH
catalog_service_videos,derived_projection,storefront_derived_readonly,PaaS Storefront Services + Adobe Commerce SaaS,Catalog Service / Storefront Services,INITIAL_RESEARCH
categories,domain_value,taxonomy_and_product_relations,PaaS/Magento Open Source,Import API + core GraphQL READ; REST uses category_link objects,THIRD_PASS_RESEARCH
related_skus,domain_value,taxonomy_and_product_relations,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
related_position,domain_value,taxonomy_and_product_relations,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
crosssell_skus,domain_value,taxonomy_and_product_relations,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
crosssell_position,domain_value,taxonomy_and_product_relations,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
upsell_skus,domain_value,taxonomy_and_product_relations,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
upsell_position,domain_value,taxonomy_and_product_relations,PaaS/Magento Open Source,Import + Admin REST + GraphQL,INITIAL_RESEARCH
product_links,structured_capability,taxonomy_and_product_relations,PaaS/Magento Open Source,Admin REST + core GraphQL,SECOND_PASS_RESEARCH
simple_product,structured_capability,product_type_family,PaaS/Magento Open Source,core GraphQL + Admin REST + Import,INITIAL_RESEARCH
virtual_product,structured_capability,product_type_family,PaaS/Magento Open Source,core GraphQL + Admin REST + Import,INITIAL_RESEARCH
configurable_product,structured_capability,product_type_family,PaaS/Magento Open Source,core GraphQL + Admin REST + Import,INITIAL_RESEARCH
grouped_product,structured_capability,product_type_family,PaaS/Magento Open Source,core GraphQL + Admin REST + Import,INITIAL_RESEARCH
bundle_product,structured_capability,product_type_family,PaaS/Magento Open Source,core GraphQL + Admin REST + Import,INITIAL_RESEARCH
downloadable_product,structured_capability,product_type_family,PaaS/Magento Open Source,core GraphQL + Admin REST + Import,INITIAL_RESEARCH
gift_card_product_type,structured_capability,product_type_family,Adobe Commerce,core GraphQL + Admin REST + Import,INITIAL_RESEARCH
meta_keyword,semantic_field,seo_routing,PaaS/Magento Open Source,Admin REST / stable EAV custom attribute,SECOND_PASS_RESEARCH
tax_class_id,domain_value,tax_configuration,PaaS/Magento Open Source,Admin REST / stable EAV custom attribute,SECOND_PASS_RESEARCH
save_rewrites_history,connector_context,seo_routing,PaaS/Magento Open Source,Import API / product URL rewrite behavior,SECOND_PASS_RESEARCH
grouped_product_item,structured_capability,grouped_composition,PaaS/Magento Open Source,core GraphQL + Import API,SECOND_PASS_RESEARCH
category_link,structured_capability,taxonomy_and_product_relations,PaaS/Magento Open Source,Admin REST extension_attributes.category_links,SECOND_PASS_RESEARCH
inventory_source,structured_capability,inventory_topology_msi,PaaS/Magento Open Source where MSI is available,Inventory REST,SECOND_PASS_RESEARCH
inventory_stock,structured_capability,inventory_topology_msi,PaaS/Magento Open Source where MSI is available,Inventory REST,SECOND_PASS_RESEARCH
inventory_stock_source_link,structured_capability,inventory_topology_msi,PaaS/Magento Open Source where MSI is available,Inventory REST,SECOND_PASS_RESEARCH
inventory_sales_channel,structured_capability,inventory_topology_msi,PaaS/Magento Open Source where MSI is available,Inventory REST,SECOND_PASS_RESEARCH
has_options,external_system_metadata,customizable_options,PaaS/Magento Open Source,Admin REST custom_attributes + live discovery,QUALIFIED_RESEARCH
required_options,external_system_metadata,customizable_options,PaaS/Magento Open Source,Admin REST custom_attributes + live discovery,QUALIFIED_RESEARCH
is_returnable,derived_projection,fulfillment_policy,Adobe Commerce only,GraphQL/product READ representation,QUALIFIED_RESEARCH
gift_wrapping_available,derived_projection,gift_and_merchandising,Adobe Commerce only,GraphQL/product READ representation,QUALIFIED_RESEARCH
gift_wrapping_price,domain_value,gift_and_merchandising,Adobe Commerce only,GraphQL/product READ representation,QUALIFIED_RESEARCH
saas_attribute_file_value,derived_projection,dynamic_attributes,Adobe Commerce as a Cloud Service,SaaS GraphQL ProductAttributeFile READ projection,THIRD_PASS_RESEARCH
saas_attribute_image_value,derived_projection,dynamic_attributes,Adobe Commerce as a Cloud Service,SaaS GraphQL AttributeImage READ projection,THIRD_PASS_RESEARCH
url_rewrites,derived_projection,seo_routing,PaaS/Magento Open Source,core GraphQL ProductInterface READ,SECOND_PASS_RESEARCH
canonical_url,derived_projection,seo_routing,PaaS/Magento Open Source + Adobe Commerce SaaS,GraphQL/storefront READ,SECOND_PASS_RESEARCH
url_suffix,derived_projection,seo_routing,PaaS/Magento Open Source,core GraphQL ProductInterface READ,SECOND_PASS_RESEARCH
url_path,derived_projection,seo_routing,PaaS/Magento Open Source,core GraphQL deprecated READ / live EAV,SECOND_PASS_RESEARCH
bundle_product_links,structured_capability,bundle_composition,PaaS/Magento Open Source,Admin REST BundleDataLinkInterface,THIRD_PASS_RESEARCH
giftcard_amounts,derived_projection,gift_card_product,Adobe Commerce,core GraphQL GiftCardAmounts READ,THIRD_PASS_RESEARCH
