shopify_object,shopify_key_or_capability,entry_kind,cluster,api_version_scope,source_surface,read_semantics,write_semantics,platform_owner_candidate,representation_candidate,review_status
Product,options,structured_capability,variant_options,2026-07,admin_graphql_product,READ,write via Product options mutations,Product variants/options,option dimension collection,INITIAL_RESEARCH
Product,priceRangeV2,derived_projection,pricing_base,2026-07,admin_graphql_product,READ,derived from variant prices,Pricing,aggregate price range,INITIAL_RESEARCH
Product,productComponents,structured_capability,bundle_composition,2026-07,admin_graphql_product,READ,write through bundle relations,Product composition,component relationship,INITIAL_RESEARCH
Product,productComponentsCount,derived_projection,bundle_composition,2026-07,admin_graphql_product,READ,read-only count,Product composition,derived count,INITIAL_RESEARCH
Product,productParents,structured_capability,bundle_composition,2026-07,admin_graphql_product,READ,write through owning bundle relation,Product composition,reverse component relation,INITIAL_RESEARCH
Product,productType,semantic_field,merchant_classification,2026-07,admin_graphql_product,READ,writable Product input,Product fields/classification,merchant-defined type,INITIAL_RESEARCH
Product,publishedAt,derived_projection,publication_visibility,2026-07,admin_graphql_product,READ,publication-system controlled,Connector/channel publication,publication timestamp,INITIAL_RESEARCH
Product,publishedInContext,derived_projection,publication_visibility,2026-07,admin_graphql_product,READ,read query helper; writes through publication,Connector/channel publication,context visibility projection,INITIAL_RESEARCH
Product,publishedOnPublication,derived_projection,publication_visibility,2026-07,admin_graphql_product,READ,read helper; writes through publishablePublish/unpublish,Connector/channel publication,publication visibility projection,INITIAL_RESEARCH
Product,requiresSellingPlan,domain_value,selling_plans_purchase_options,2026-07,admin_graphql_product,READ,writable Product input,Purchase options,selling-plan-only policy,INITIAL_RESEARCH
Product,resourcePublications,structured_capability,publication_visibility,2026-07,admin_graphql_product,READ,write via publication mutations,Connector/channel publication,resource-publication relationship,INITIAL_RESEARCH
Product,resourcePublicationsCount,derived_projection,publication_visibility,2026-07,admin_graphql_product,READ,read-only count,Connector/channel publication,derived count,INITIAL_RESEARCH
Product,resourcePublicationsV2,structured_capability,publication_visibility,2026-07,admin_graphql_product,READ,write via publication mutations,Connector/channel publication,resource-publication relationship,INITIAL_RESEARCH
Product,restrictedForResource,derived_projection,restrictions_feedback,2026-07,admin_graphql_product,READ,system restriction projection,Connector readiness,restriction reasons,INITIAL_RESEARCH
Product,sellingPlanGroups,structured_capability,selling_plans_purchase_options,2026-07,admin_graphql_product,READ,write through selling-plan mutations,Purchase options,selling plan relationship,INITIAL_RESEARCH
Product,sellingPlanGroupsCount,derived_projection,selling_plans_purchase_options,2026-07,admin_graphql_product,READ,read-only count,Purchase options,derived count,INITIAL_RESEARCH
Product,seo,structured_capability,seo_routing,2026-07,admin_graphql_product,READ,writable SEOInput,Product fields/channel SEO,SEO title/description object,INITIAL_RESEARCH
Product,status,semantic_field,product_identity_lifecycle,2026-07,admin_graphql_product,READ,writable Product input,Product lifecycle,Shopify ProductStatus,INITIAL_RESEARCH
Product,tags,semantic_field,merchant_classification,2026-07,admin_graphql_product,READ,writable Product input,Product classification,merchant tags,INITIAL_RESEARCH
Product,templateSuffix,connector_context,presentation_template,2026-07,admin_graphql_product,READ,writable Product input,Channel presentation,theme template selector,INITIAL_RESEARCH
Product,title,semantic_field,product_content,2026-07,admin_graphql_product,READ,writable Product input,Product fields,product name/title,INITIAL_RESEARCH
Product,totalInventory,derived_projection,inventory_locations_quantities,2026-07,admin_graphql_product,READ,derived aggregate,Inventory,aggregate inventory,INITIAL_RESEARCH
Product,tracksInventory,derived_projection,inventory_item,2026-07,admin_graphql_product,READ,derived from variants/items,Inventory,aggregate tracking state,INITIAL_RESEARCH
Product,translations,structured_capability,markets_localization,2026-07,admin_graphql_product,READ,write via translationsRegister,Localization,localized values,INITIAL_RESEARCH
Product,unpublishedPublications,structured_capability,publication_visibility,2026-07,admin_graphql_product,READ,write via publish/unpublish,Connector/channel publication,unpublished publication relation,INITIAL_RESEARCH
Product,updatedAt,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_product,READ,system-owned,Connector metadata,remote timestamp,INITIAL_RESEARCH
Product,variants,structured_capability,variant_identity,2026-07,admin_graphql_product,READ,write via variant bulk/set mutations,ProductVariant,variant collection,INITIAL_RESEARCH
Product,variantsCount,derived_projection,variant_identity,2026-07,admin_graphql_product,READ,read-only count,ProductVariant,derived count,INITIAL_RESEARCH
Product,variantsInCollection,derived_projection,collections_relations,2026-07,admin_graphql_product,READ,query projection,Category/relations,collection-filtered variants,INITIAL_RESEARCH
Product,variantsInCollectionCount,derived_projection,collections_relations,2026-07,admin_graphql_product,READ,read-only count,Category/relations,derived count,INITIAL_RESEARCH
Product,vendor,semantic_field,product_content,2026-07,admin_graphql_product,READ,writable Product input,Product fields,vendor/brand-like external field,INITIAL_RESEARCH
ProductVariant,availableForSale,derived_projection,inventory_locations_quantities,2026-07,admin_graphql_variant,READ,read-only storefront/admin availability aggregate,Inventory,availability projection,INITIAL_RESEARCH
ProductVariant,availablePublicationsCount,derived_projection,publication_visibility,2026-07,admin_graphql_variant,READ,read-only count,Connector/channel publication,derived count,INITIAL_RESEARCH
ProductVariant,barcode,semantic_field,variant_identity,2026-07,admin_graphql_variant,READ,writable ProductVariantsBulkInput,ProductVariant fields,barcode/GTIN candidate,INITIAL_RESEARCH
ProductVariant,compareAtPrice,domain_value,pricing_base,2026-07,admin_graphql_variant,READ,writable ProductVariantsBulkInput,Pricing,compare-at price,INITIAL_RESEARCH
ProductVariant,contextualPricing,derived_projection,pricing_contextual_catalogs,2026-07,admin_graphql_variant,READ,writes through Catalog/PriceList,Pricing,contextual pricing projection,INITIAL_RESEARCH
ProductVariant,createdAt,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_variant,READ,system-owned,Connector metadata,remote timestamp,INITIAL_RESEARCH
ProductVariant,defaultCursor,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_variant,READ,system-owned,Connector pagination,cursor,INITIAL_RESEARCH
ProductVariant,deliveryProfile,connector_context,delivery_profiles,2026-07,admin_graphql_variant,READ,write via delivery profile assignment mutations,Fulfillment/shipping,delivery profile reference,INITIAL_RESEARCH
ProductVariant,displayName,derived_projection,variant_identity,2026-07,admin_graphql_variant,READ,derived,ProductVariant,display-name projection,INITIAL_RESEARCH
ProductVariant,events,derived_projection,event_history,2026-07,admin_graphql_variant,READ,system event stream,Connector audit metadata,event connection,INITIAL_RESEARCH
ProductVariant,id,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_variant,READ,system-owned GID,External identity,Shopify GID,INITIAL_RESEARCH
ProductVariant,inventoryItem,structured_capability,inventory_item,2026-07,admin_graphql_variant,READ,writable nested InventoryItemInput / inventoryItemUpdate,Inventory/logistics/customs,inventory item relationship,INITIAL_RESEARCH
ProductVariant,inventoryPolicy,domain_value,inventory_item,2026-07,admin_graphql_variant,READ,writable ProductVariantsBulkInput,Availability/order policy,continue/deny out-of-stock policy,INITIAL_RESEARCH
ProductVariant,inventoryQuantity,derived_projection,inventory_locations_quantities,2026-07,admin_graphql_variant,READ,derived aggregate,Inventory,quantity projection,INITIAL_RESEARCH
ProductVariant,legacyResourceId,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_variant,READ,system-owned,External identity,legacy numeric ID,INITIAL_RESEARCH
ProductVariant,media,structured_capability,media,2026-07,admin_graphql_variant,READ,associate through variant bulk/media mutations,Media,variant media relationship,INITIAL_RESEARCH
ProductVariant,metafield,structured_capability,dynamic_metafields,2026-07,admin_graphql_variant,READ,write via metafieldsSet/variant input,Field Dictionary / connector schema,single dynamic field,INITIAL_RESEARCH
ProductVariant,metafields,structured_capability,dynamic_metafields,2026-07,admin_graphql_variant,READ,write via metafieldsSet/variant input,Field Dictionary / connector schema,dynamic fields,INITIAL_RESEARCH
ProductVariant,position,domain_value,variant_identity,2026-07,admin_graphql_variant,READ,mutation-specific ordering; verify supported setter,Product variants/options,variant order,INITIAL_RESEARCH
ProductVariant,price,domain_value,pricing_base,2026-07,admin_graphql_variant,READ,writable ProductVariantsBulkInput,Pricing,base variant price,INITIAL_RESEARCH
ProductVariant,product,structured_capability,variant_identity,2026-07,admin_graphql_variant,READ,parent relation; system relationship,Product/ProductVariant,parent Product,INITIAL_RESEARCH
ProductVariant,productParents,structured_capability,bundle_composition,2026-07,admin_graphql_variant,READ,write through component relationships,Product composition,reverse parent relation,INITIAL_RESEARCH
ProductVariant,productVariantComponents,structured_capability,bundle_composition,2026-07,admin_graphql_variant,READ,write via productVariantRelationshipBulkUpdate,Product composition,variant bundle components,INITIAL_RESEARCH
ProductVariant,publishedOnPublication,derived_projection,publication_visibility,2026-07,admin_graphql_variant,READ,read; 2026-07 variant publication writes via Publishable,Connector/channel publication,variant publication projection,INITIAL_RESEARCH
ProductVariant,requiresComponents,domain_value,bundle_composition,2026-07,admin_graphql_variant,READ,writable ProductVariantsBulkInput,Product composition,bundle-parent requirement,INITIAL_RESEARCH
ProductVariant,resourcePublications,structured_capability,publication_visibility,2026-07,admin_graphql_variant,READ,variant Publishable relation in 2026-07,Connector/channel publication,variant publication relationship,INITIAL_RESEARCH
ProductVariant,resourcePublicationsCount,derived_projection,publication_visibility,2026-07,admin_graphql_variant,READ,read-only count,Connector/channel publication,derived count,INITIAL_RESEARCH
ProductVariant,resourcePublicationsV2,structured_capability,publication_visibility,2026-07,admin_graphql_variant,READ,variant Publishable relation in 2026-07,Connector/channel publication,variant publication relationship,INITIAL_RESEARCH
ProductVariant,selectedOptions,structured_capability,variant_options,2026-07,admin_graphql_variant,READ,write via optionValues input,Product variants/options,selected dimension values,INITIAL_RESEARCH
ProductVariant,sellableOnlineQuantity,derived_projection,inventory_locations_quantities,2026-07,admin_graphql_variant,READ,derived online sellable aggregate,Inventory,sellable quantity projection,INITIAL_RESEARCH
ProductVariant,sellingPlanGroups,structured_capability,selling_plans_purchase_options,2026-07,admin_graphql_variant,READ,write through selling-plan mutations,Purchase options,selling plan relationship,INITIAL_RESEARCH
ProductVariant,sellingPlanGroupsCount,derived_projection,selling_plans_purchase_options,2026-07,admin_graphql_variant,READ,read-only count,Purchase options,derived count,INITIAL_RESEARCH
ProductVariant,showUnitPrice,domain_value,pricing_base,2026-07,admin_graphql_variant,READ,writable ProductVariantsBulkInput,Pricing/presentation,unit-price display policy,INITIAL_RESEARCH
ProductVariant,sku,semantic_field,variant_identity,2026-07,admin_graphql_variant,READ,writable through InventoryItemInput nested in variant mutations / inventoryItemUpdate,ProductVariant identity,SKU,INITIAL_RESEARCH
ProductVariant,taxable,domain_value,tax_fulfillment,2026-07,admin_graphql_variant,READ,writable ProductVariantsBulkInput,Tax/fulfillment,taxability,INITIAL_RESEARCH
ProductVariant,title,derived_projection,variant_options,2026-07,admin_graphql_variant,READ,derived from options,Product variants/options,variant title projection,INITIAL_RESEARCH
ProductVariant,translations,structured_capability,markets_localization,2026-07,admin_graphql_variant,READ,write via translationsRegister where translatable,Localization,localized variant content,INITIAL_RESEARCH
ProductVariant,unitPrice,derived_projection,pricing_base,2026-07,admin_graphql_variant,READ,derived from price + measurement,Pricing,unit price projection,INITIAL_RESEARCH
ProductVariant,unitPriceMeasurement,structured_capability,pricing_base,2026-07,admin_graphql_variant,READ,writable ProductVariantsBulkInput,Pricing/measurement,unit price measurement,INITIAL_RESEARCH
ProductVariant,unpublishedPublications,structured_capability,publication_visibility,2026-07,admin_graphql_variant,READ,write via Publishable in 2026-07,Connector/channel publication,unpublished relation,INITIAL_RESEARCH
ProductVariant,updatedAt,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_variant,READ,system-owned,Connector metadata,remote timestamp,INITIAL_RESEARCH
ProductOption,id,external_system_metadata,variant_options,2026-07,admin_graphql_options,READ,WRITE via productOptionsCreate/Update/Delete/Reorder where applicable,Product variants/options,option GID,INITIAL_RESEARCH
ProductOption,linkedMetafield,schema_metadata,variant_options,2026-07,admin_graphql_options,READ,WRITE via productOptionsCreate/Update/Delete/Reorder where applicable,Product variants/options,taxonomy/metafield-backed option definition,INITIAL_RESEARCH
ProductOption,name,schema_metadata,variant_options,2026-07,admin_graphql_options,READ,WRITE via productOptionsCreate/Update/Delete/Reorder where applicable,Product variants/options,option dimension name,INITIAL_RESEARCH
ProductOption,optionValues,structured_capability,variant_options,2026-07,admin_graphql_options,READ,WRITE via productOptionsCreate/Update/Delete/Reorder where applicable,Product variants/options,option value identities,INITIAL_RESEARCH
ProductOption,position,schema_metadata,variant_options,2026-07,admin_graphql_options,READ,WRITE via productOptionsCreate/Update/Delete/Reorder where applicable,Product variants/options,dimension ordering,INITIAL_RESEARCH
ProductOption,translations,structured_capability,variant_options,2026-07,admin_graphql_options,READ,WRITE via productOptionsCreate/Update/Delete/Reorder where applicable,Product variants/options,localized option labels,INITIAL_RESEARCH
ProductOption,values,derived_projection,variant_options,2026-07,admin_graphql_options,READ,WRITE via productOptionsCreate/Update/Delete/Reorder where applicable,Product variants/options,string values projection,INITIAL_RESEARCH
ProductOptionValue,hasVariants,derived_projection,variant_options,2026-07,admin_graphql_options,READ,WRITE via option mutations where applicable,Product variants/options,usage projection,INITIAL_RESEARCH
ProductOptionValue,id,external_system_metadata,variant_options,2026-07,admin_graphql_options,READ,WRITE via option mutations where applicable,Product variants/options,option-value GID,INITIAL_RESEARCH
ProductOptionValue,linkedMetafieldValue,schema_metadata,variant_options,2026-07,admin_graphql_options,READ,WRITE via option mutations where applicable,Product variants/options,linked taxonomy/metaobject value identity,INITIAL_RESEARCH
ProductOptionValue,name,schema_metadata,variant_options,2026-07,admin_graphql_options,READ,WRITE via option mutations where applicable,Product variants/options,option value label,INITIAL_RESEARCH
ProductOptionValue,swatch,structured_capability,variant_options,2026-07,admin_graphql_options,READ,WRITE via option mutations where applicable,Product variants/options,color/image swatch representation,INITIAL_RESEARCH
ProductOptionValue,translations,structured_capability,variant_options,2026-07,admin_graphql_options,READ,WRITE via option mutations where applicable,Product variants/options,localized value label,INITIAL_RESEARCH
InventoryItem,countryCodeOfOrigin,semantic_field,shipping_customs,2026-07,admin_graphql_inventory,READ,writable InventoryItemInput,Product logistics/customs,ISO origin country,INITIAL_RESEARCH
InventoryItem,countryHarmonizedSystemCodes,structured_capability,shipping_customs,2026-07,admin_graphql_inventory,READ,writable InventoryItemInput,Product logistics/customs,country-specific HS codes,INITIAL_RESEARCH
InventoryItem,createdAt,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_inventory,READ,system-owned,Connector metadata,timestamp,INITIAL_RESEARCH
InventoryItem,duplicateSkuCount,derived_projection,inventory_item,2026-07,admin_graphql_inventory,READ,read-only,Connector readiness,duplicate SKU diagnostic,INITIAL_RESEARCH
InventoryItem,harmonizedSystemCode,semantic_field,shipping_customs,2026-07,admin_graphql_inventory,READ,writable InventoryItemInput,Product logistics/customs,HS code,INITIAL_RESEARCH
InventoryItem,id,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_inventory,READ,system-owned,External identity,InventoryItem GID,INITIAL_RESEARCH
InventoryItem,inventoryHistoryUrl,derived_projection,inventory_item,2026-07,admin_graphql_inventory,READ,read-only,Connector/admin presentation,history URL,INITIAL_RESEARCH
InventoryItem,inventoryLevel,structured_capability,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,write via inventory activation/quantity mutations,Inventory,location-specific level lookup,INITIAL_RESEARCH
InventoryItem,inventoryLevels,structured_capability,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,write via inventory activation/quantity mutations,Inventory,location-specific levels,INITIAL_RESEARCH
InventoryItem,legacyResourceId,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_inventory,READ,system-owned,External identity,legacy numeric ID,INITIAL_RESEARCH
InventoryItem,locationsCount,derived_projection,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,read-only count,Inventory,derived count,INITIAL_RESEARCH
InventoryItem,measurement,structured_capability,shipping_customs,2026-07,admin_graphql_inventory,READ,writable InventoryItemInput,Product logistics/measurement,physical measurement,INITIAL_RESEARCH
InventoryItem,provinceCodeOfOrigin,semantic_field,shipping_customs,2026-07,admin_graphql_inventory,READ,writable InventoryItemInput,Product logistics/customs,origin subdivision,INITIAL_RESEARCH
InventoryItem,requiresShipping,semantic_field,shipping_customs,2026-07,admin_graphql_inventory,READ,writable InventoryItemInput,Fulfillment,physical-shipping requirement,INITIAL_RESEARCH
InventoryItem,sku,semantic_field,variant_identity,2026-07,admin_graphql_inventory,READ,writable InventoryItemInput,ProductVariant identity,SKU,INITIAL_RESEARCH
InventoryItem,tracked,domain_value,inventory_item,2026-07,admin_graphql_inventory,READ,writable InventoryItemInput,Inventory,tracking policy,INITIAL_RESEARCH
InventoryItem,trackedEditable,derived_projection,inventory_item,2026-07,admin_graphql_inventory,READ,system capability projection,Inventory,editability projection,INITIAL_RESEARCH
InventoryItem,unitCost,domain_value,pricing_base,2026-07,admin_graphql_inventory,READ,writable as InventoryItemInput.cost,Pricing/internal cost,unit cost,INITIAL_RESEARCH
InventoryItem,updatedAt,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_inventory,READ,system-owned,Connector metadata,timestamp,INITIAL_RESEARCH
InventoryItem,variants,structured_capability,variant_identity,2026-07,admin_graphql_inventory,READ,relationship/system-owned,ProductVariant,variants sharing inventory item where represented,INITIAL_RESEARCH
InventoryLevel,canDeactivate,derived_projection,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,read-only,Inventory,deactivation capability,INITIAL_RESEARCH
InventoryLevel,createdAt,external_system_metadata,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,system-owned,Inventory,timestamp,INITIAL_RESEARCH
InventoryLevel,deactivationAlert,derived_projection,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,read-only,Inventory,deactivation warning,INITIAL_RESEARCH
InventoryLevel,id,external_system_metadata,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,system-owned,Inventory,level GID,INITIAL_RESEARCH
InventoryLevel,isActive,domain_value,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,write via inventoryActivate/inventoryDeactivate,Inventory,location activation,INITIAL_RESEARCH
InventoryLevel,item,structured_capability,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,relationship/system-owned,Inventory,InventoryItem relation,INITIAL_RESEARCH
InventoryLevel,location,connector_context,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,relationship; location is remote context,Inventory,Shopify Location identity,INITIAL_RESEARCH
InventoryLevel,quantities,structured_capability,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,write via inventoryAdjustQuantities/inventorySetQuantities,Inventory,named quantity states,INITIAL_RESEARCH
InventoryLevel,updatedAt,external_system_metadata,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,system-owned,Inventory,timestamp,INITIAL_RESEARCH
InventoryLevel,scheduledChanges,derived_projection,inventory_locations_quantities,2026-07,admin_graphql_inventory,READ,deprecated/read-only,Inventory,deprecated scheduled changes,INITIAL_RESEARCH
Metafield,compareDigest,external_system_metadata,dynamic_metafields,2026-07,admin_graphql_metafields,READ,optimistic concurrency token for metafieldsSet,Field Dictionary / connector schema,compare digest,INITIAL_RESEARCH
Metafield,createdAt,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_metafields,READ,system-owned,Field Dictionary / connector schema,timestamp,INITIAL_RESEARCH
Metafield,definition,schema_metadata,dynamic_metafields,2026-07,admin_graphql_metafields,READ,schema relation,Field Dictionary / connector schema,definition reference,INITIAL_RESEARCH
Metafield,id,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_metafields,READ,system-owned,Field Dictionary / connector schema,metafield GID,INITIAL_RESEARCH
Metafield,jsonValue,derived_projection,dynamic_metafields,2026-07,admin_graphql_metafields,READ,value write through string-encoded typed input,Field Dictionary / connector schema,JSON-parsed value projection,INITIAL_RESEARCH
Metafield,key,schema_metadata,dynamic_metafields,2026-07,admin_graphql_metafields,READ,immutable identity after creation,Field Dictionary / connector schema,field key,INITIAL_RESEARCH
Metafield,legacyResourceId,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_metafields,READ,system-owned,Field Dictionary / connector schema,legacy ID,INITIAL_RESEARCH
Metafield,namespace,schema_metadata,dynamic_metafields,2026-07,admin_graphql_metafields,READ,identity/ownership namespace,Field Dictionary / connector schema,namespace,INITIAL_RESEARCH
Metafield,owner,structured_capability,dynamic_metafields,2026-07,admin_graphql_metafields,READ,owner relationship,Field Dictionary / connector schema,owner reference,INITIAL_RESEARCH
Metafield,ownerType,schema_metadata,dynamic_metafields,2026-07,admin_graphql_metafields,READ,derived from owner; definition controls scope,Field Dictionary / connector schema,owner resource type,INITIAL_RESEARCH
Metafield,reference,structured_capability,dynamic_metafields,2026-07,admin_graphql_metafields,READ,write typed reference value,Field Dictionary / connector schema,single reference,INITIAL_RESEARCH
Metafield,references,structured_capability,dynamic_metafields,2026-07,admin_graphql_metafields,READ,write typed list reference value,Field Dictionary / connector schema,reference collection,INITIAL_RESEARCH
Metafield,sizeInBytes,derived_projection,dynamic_metafields,2026-07,admin_graphql_metafields,READ,read-only,Field Dictionary / connector schema,size projection,INITIAL_RESEARCH
Metafield,translations,structured_capability,markets_localization,2026-07,admin_graphql_metafields,READ,translationsRegister when publicly accessible,Field Dictionary / connector schema,localized metafield value,INITIAL_RESEARCH
Metafield,type,schema_metadata,dynamic_metafields,2026-07,admin_graphql_metafields,READ,set on creation/definition; constrained type,Field Dictionary / connector schema,metafield type,INITIAL_RESEARCH
Metafield,updatedAt,external_system_metadata,external_identity_metadata,2026-07,admin_graphql_metafields,READ,system-owned,Field Dictionary / connector schema,timestamp,INITIAL_RESEARCH
Metafield,value,semantic_field,dynamic_metafields,2026-07,admin_graphql_metafields,READ,writable metafieldsSet/owner mutation,Field Dictionary / connector schema,typed string representation,INITIAL_RESEARCH
MetafieldDefinition,access,schema_metadata,dynamic_metafields,2026-07,admin_graphql_metafields,READ,definition create/update,Connector schema / Field Dictionary comparison,access policy,INITIAL_RESEARCH
MetafieldDefinition,capabilities,schema_metadata,dynamic_metafields,2026-07,admin_graphql_metafields,READ,definition create/update where supported,Connector schema / Field Dictionary comparison,definition capabilities,INITIAL_RESEARCH
MetafieldDefinition,constraints,schema_metadata,dynamic_metafields,2026-07,admin_graphql_metafields,READ,definition constraints,Connector schema / Field Dictionary comparison,constraints,INITIAL_RESEARCH
MetafieldDefinition,description,schema_metadata,dynamic_metafields,2026-07,admin_graphql_metafields,READ,definition create/update,Connector schema / Field Dictionary comparison,human description,INITIAL_RESEARCH
MetafieldDefinition,id,external_system_metadata,dynamic_metafields,2026-07,admin_graphql_metafields,READ,system-owned,Connector schema / Field Dictionary comparison,definition GID,INITIAL_RESEARCH
