external_field_key,external_label,normalized_data_type,external_scope,behavior_class,progress_bucket,bucket_detail,canonical_code,mapping_status,certification_status,onboarding_readiness,evidence_ref,next_action
c_carseats_headrest,Автокрісла - Підголівник,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_height_from,Автокрісла - Зріст_від (см),money,website,money/website,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_height_to,Автокрісла - Зріст_до (см),money,website,money/website,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_removable_cover,Автокрісла - Знімний чохол,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_rotating_function,Автокрісла - Поворотність,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_safety_standard,Автокрісла - Стандарт безпеки,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_seat_belt_type,Автокрісла - Тип ременів безпеки,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_stroller_installation,Автокрісла - Встановлення на шасі,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_travel_direction,Автокрісла - Напрямок руху,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_type,Автокрісла - Тип автокрісла,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_weight_from,Автокрісла - Вага_від (кг),money,website,money/website,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_carseats_weight_to,Автокрісла - Вага_до (кг),money,website,money/website,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
c_furniture_color,Меблі - Колір,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_schema_only,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_age_from,Коляски - Вік дитини,money,website,money/website,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_backrest_adjustment,Коляски - Регулювання спинки,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_backrest_tilt_angle,Коляски - Кут нахилу спинки,money,website,money/website,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_brake,Коляски - Гальмо,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_bumper,Коляски - Бампер,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_car_seat_installation,Коляски - Можливість встановлення автокрісла,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_chassis_width,Коляски - Ширина шассі,money,website,money/website,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_color,Коляски - Колір,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_color_joolz_day_5,Коляски - Колір - Joolz Day ,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_schema_only,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_cot_window,Коляски - Оглядове віконце у люльці,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_folding_type,Коляски - Тип складання,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_hand_luggage,Коляски - Ручна поклажа,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_handle_adjustment,Коляски - Регулювання ручки,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_max_child_weight,Коляски - Максимальна вага дитини,money,website,money/website,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_travel_direction,Коляски - Напрямок поїздки,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_type,Коляски - Тип коляски,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_weight,Коляски - Вага коляски,money,website,money/website,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_wheel_swivel,Коляски - Поворотність коліс,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
c_strollers_wheel_type,Коляски - Тип коліс,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,BEHAVIOR_CLASS_COVERED_NO_EXACT_WRITE,ready_by_certified_behavior_class_live_value,docs/connectors/adobe-commerce/magento_v1_custom_behavior_coverage_2026_09_12.json,none_customer_onboarding_ready; exact_write_only_if_new_behavior_or_runtime_failure
category_ids,Categories,text,global,text/global,canonical_platform,canonical_platform_concept,category,verified_auto_mapping,RELATION_SURFACE_PENDING,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,P-01_category_relation_runtime
color,Color,select,global,select/global,canonical_platform,canonical_platform_concept,color,canonical_semantics_known_mapping_rule_pending,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,add_or_verify_adobe_canonical_mapping_then_certify
cost,Cost,money,website,money/website,magento_standard,pricing_or_tax,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
country_of_manufacture,Country of Manufacture,select,global,select/global,magento_standard,standard_product_attribute,,provider_specific_or_domain_owned,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
created_at,,date,global,date/global,magento_standard,system_platform_owned,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
custom_design,New Theme,select,store,select/store,magento_standard,presentation_layout,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
custom_design_from,Active From,date,store,date/store,magento_standard,presentation_layout,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
custom_design_to,Active To,date,store,date/store,magento_standard,presentation_layout,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
custom_layout,New Layout,select,store,select/store,magento_standard,presentation_layout,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
custom_layout_update,Layout Update XML,long_text,store,long_text/store,magento_standard,presentation_layout,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
custom_layout_update_file,Custom Layout Update,select,store,select/store,magento_standard,presentation_layout,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
description,Description,long_text,store,long_text/store,canonical_platform,canonical_platform_concept,description,verified_auto_mapping,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
gallery,Image Gallery,image_collection,global,image_collection/global,magento_standard,media_role_or_metadata,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
gift_message_available,Allow Gift Message,select,global,select/global,magento_standard,standard_product_attribute,,provider_specific_or_domain_owned,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
has_options,,text,global,text/global,magento_standard,system_platform_owned,,provider_specific_or_domain_owned,SYSTEM_OWNED_NO_GENERIC_WRITE,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_keep_explicit_non_generic_write_classification
image,Base,image,store,image/store,canonical_platform,canonical_platform_concept,image,canonical_semantics_known_mapping_rule_pending,SPECIAL_SURFACE_PRESERVATION_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,keep_owner_specific_semantics_or_complete_dedicated_surface
image_label,Image Label,text,store,text/store,magento_standard,media_role_or_metadata,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
manufacturer,Manufacturer,select,global,select/global,canonical_platform,canonical_platform_concept,manufacturer,canonical_semantics_known_mapping_rule_pending,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
media_gallery,Media Gallery,image_collection,global,image_collection/global,magento_standard,media_role_or_metadata,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
meta_description,Meta Description,long_text,store,long_text/store,canonical_platform,canonical_platform_concept,meta_description,canonical_semantics_known_mapping_rule_pending,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
meta_keyword,Meta Keywords,long_text,store,long_text/store,magento_standard,standard_product_attribute,,provider_specific_or_domain_owned,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
meta_title,Meta Title,text,store,text/store,canonical_platform,canonical_platform_concept,meta_title,canonical_semantics_known_mapping_rule_pending,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
minimal_price,Minimal Price,money,website,money/website,magento_standard,pricing_or_tax,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
msrp,Minimum Advertised Price,money,website,money/website,magento_standard,pricing_or_tax,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
msrp_display_actual_price_type,Display Actual Price,select,website,select/website,magento_standard,pricing_or_tax,,provider_specific_or_domain_owned,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
name,Product Name,text,store,text/store,canonical_platform,canonical_platform_concept,name,verified_auto_mapping,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
news_from_date,Set Product as New from Date,date,website,date/website,magento_standard,standard_product_attribute,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
news_to_date,Set Product as New to Date,date,website,date/website,magento_standard,standard_product_attribute,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
old_id,,text,global,text/global,magento_standard,system_platform_owned,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
options_container,Display Product Options In,select,store,select/store,magento_standard,presentation_layout,,provider_specific_or_domain_owned,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
page_layout,Layout,select,store,select/store,magento_standard,presentation_layout,,provider_specific_or_domain_owned,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
price,Price,money,website,money/website,canonical_platform,canonical_platform_concept,price,canonical_semantics_known_mapping_rule_pending,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
price_type,Dynamic Price,boolean,global,boolean/global,magento_standard,pricing_or_tax,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
price_view,Price View,select,website,select/website,magento_standard,pricing_or_tax,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
quantity_and_stock_status,Quantity,select,global,select/global,magento_standard,inventory_projection,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
required_options,,text,global,text/global,magento_standard,system_platform_owned,,provider_specific_or_domain_owned,SYSTEM_OWNED_NO_GENERIC_WRITE,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_keep_explicit_non_generic_write_classification
shipment_type,Ship Bundle Items,select,global,select/global,magento_standard,bundle_or_product_type_mechanic,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
short_description,Short Description,long_text,store,long_text/store,canonical_platform,canonical_platform_concept,short_description,verified_auto_mapping,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
sku,SKU,text,global,text/global,canonical_platform,canonical_platform_concept,sku,verified_auto_mapping,IDENTITY_READ_PROVEN_WRITE_NOT_APPLICABLE,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_keep_explicit_non_generic_write_classification
sku_type,Dynamic SKU,boolean,global,boolean/global,magento_standard,bundle_or_product_type_mechanic,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
small_image,Small,image,store,image/store,magento_standard,media_role_or_metadata,,provider_specific_or_domain_owned,SPECIAL_SURFACE_PRESERVATION_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,keep_owner_specific_semantics_or_complete_dedicated_surface
small_image_label,Small Image Label,text,store,text/store,magento_standard,media_role_or_metadata,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
special_from_date,Special Price From Date,date,website,date/website,magento_standard,pricing_or_tax,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
special_price,Special Price,money,website,money/website,magento_standard,pricing_or_tax,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
special_to_date,Special Price To Date,date,website,date/website,magento_standard,pricing_or_tax,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
status,Enable Product,select,website,select/website,canonical_platform,canonical_platform_concept,status,verified_auto_mapping,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
